,position,club,league,season
0,1,BayernMunich,Bundesliga,2018/2019
1,2,BorussiaDortmund,Bundesliga,2018/2019
2,3,RBLeipzig,Bundesliga,2018/2019
3,4,BayerLeverkusen,Bundesliga,2018/2019
4,5,BorussiaMGladbach,Bundesliga,2018/2019
5,6,Wolfsburg,Bundesliga,2018/2019
6,7,EintrachtFrankfurt,Bundesliga,2018/2019
7,8,WerderBremen,Bundesliga,2018/2019
8,9,Hoffenheim,Bundesliga,2018/2019
9,10,FortunaDuesseldorf,Bundesliga,2018/2019
10,11,HerthaBerlin,Bundesliga,2018/2019
11,12,Mainz,Bundesliga,2018/2019
12,13,Freiburg,Bundesliga,2018/2019
13,14,Schalke,Bundesliga,2018/2019
14,15,Augsburg,Bundesliga,2018/2019
15,16,VfBStuttgart,Bundesliga,2018/2019
16,17,Hannover,Bundesliga,2018/2019
17,18,Nuernberg,Bundesliga,2018/2019
