,position,club,league,season
0,1,Barcelona,LaLiga,2010/2011
1,2,RealMadrid,LaLiga,2010/2011
2,3,Valencia,LaLiga,2010/2011
3,4,Villarreal,LaLiga,2010/2011
4,5,Sevilla,LaLiga,2010/2011
5,6,AthleticBilbao,LaLiga,2010/2011
6,7,AtleticoMadrid,LaLiga,2010/2011
7,8,Espanyol,LaLiga,2010/2011
8,9,Osasuna,LaLiga,2010/2011
9,10,SportingGijon,LaLiga,2010/2011
10,11,Malaga,LaLiga,2010/2011
11,12,RacingSantander,LaLiga,2010/2011
12,13,RealZaragoza,LaLiga,2010/2011
13,14,Levante,LaLiga,2010/2011
14,15,RealSociedad,LaLiga,2010/2011
15,16,Getafe,LaLiga,2010/2011
16,17,Mallorca,LaLiga,2010/2011
17,18,DeportivoLaCoruna,LaLiga,2010/2011
18,19,Hercules,LaLiga,2010/2011
19,20,Almeria,LaLiga,2010/2011
