,position,club,league,season
0,1,Lille,Ligue 1,2020/2021
1,2,ParisSaintGermain,Ligue 1,2020/2021
2,3,Monaco,Ligue 1,2020/2021
3,4,Lyon,Ligue 1,2020/2021
4,5,Marseille,Ligue 1,2020/2021
5,6,Rennes,Ligue 1,2020/2021
6,7,Lens,Ligue 1,2020/2021
7,8,Montpellier,Ligue 1,2020/2021
8,9,Nice,Ligue 1,2020/2021
9,10,Metz,Ligue 1,2020/2021
10,11,SaintEtienne,Ligue 1,2020/2021
11,12,Bordeaux,Ligue 1,2020/2021
12,13,Angers,Ligue 1,2020/2021
13,14,Reims,Ligue 1,2020/2021
14,15,Strasbourg,Ligue 1,2020/2021
15,16,Lorient,Ligue 1,2020/2021
16,17,Brest,Ligue 1,2020/2021
17,18,Nantes,Ligue 1,2020/2021
18,19,Nimes,Ligue 1,2020/2021
19,20,Dijon,Ligue 1,2020/2021
