,position,club,league,season
0,1,ManchesterCity,Premier League,2011/2012
1,2,ManchesterUnited,Premier League,2011/2012
2,3,Arsenal,Premier League,2011/2012
3,4,Tottenham,Premier League,2011/2012
4,5,Newcastle,Premier League,2011/2012
5,6,Chelsea,Premier League,2011/2012
6,7,Everton,Premier League,2011/2012
7,8,Liverpool,Premier League,2011/2012
8,9,Fulham,Premier League,2011/2012
9,10,WestBromwich,Premier League,2011/2012
10,11,Swansea,Premier League,2011/2012
11,12,Norwich,Premier League,2011/2012
12,13,Sunderland,Premier League,2011/2012
13,14,Stoke,Premier League,2011/2012
14,15,Wigan,Premier League,2011/2012
15,16,AstonVilla,Premier League,2011/2012
16,17,QueensParkRangers,Premier League,2011/2012
17,18,Bolton,Premier League,2011/2012
18,19,Blackburn,Premier League,2011/2012
19,20,Wolverhampton,Premier League,2011/2012
