,position,club,league,season
0,1,Juventus,Serie A,2012/2013
1,2,Napoli,Serie A,2012/2013
2,3,ACMilan,Serie A,2012/2013
3,4,Fiorentina,Serie A,2012/2013
4,5,Udinese,Serie A,2012/2013
5,6,Lazio,Serie A,2012/2013
6,7,Roma,Serie A,2012/2013
7,8,Catania,Serie A,2012/2013
8,9,Inter,Serie A,2012/2013
9,10,ParmaCalcio,Serie A,2012/2013
10,11,Cagliari,Serie A,2012/2013
11,12,Chievo,Serie A,2012/2013
12,13,Bologna,Serie A,2012/2013
13,14,Sampdoria,Serie A,2012/2013
14,15,Atalanta,Serie A,2012/2013
15,16,Torino,Serie A,2012/2013
16,17,Genoa,Serie A,2012/2013
17,18,Palermo,Serie A,2012/2013
18,19,Siena,Serie A,2012/2013
19,20,Pescara,Serie A,2012/2013
