Unnamed: 0,position,club,league,season
0,1,BayernMunich,Bundesliga,2009/2010
1,2,Schalke,Bundesliga,2009/2010
2,3,WerderBremen,Bundesliga,2009/2010
3,4,BayerLeverkusen,Bundesliga,2009/2010
4,5,BorussiaDortmund,Bundesliga,2009/2010
5,6,VfBStuttgart,Bundesliga,2009/2010
6,7,HamburgerSV,Bundesliga,2009/2010
7,8,Wolfsburg,Bundesliga,2009/2010
8,9,Mainz,Bundesliga,2009/2010
9,10,EintrachtFrankfurt,Bundesliga,2009/2010
10,11,Hoffenheim,Bundesliga,2009/2010
11,12,BorussiaMGladbach,Bundesliga,2009/2010
12,13,FCKoln,Bundesliga,2009/2010
13,14,Freiburg,Bundesliga,2009/2010
14,15,Hannover,Bundesliga,2009/2010
15,16,Nuernberg,Bundesliga,2009/2010
16,17,Bochum,Bundesliga,2009/2010
17,18,HerthaBerlin,Bundesliga,2009/2010
0,1,BorussiaDortmund,Bundesliga,2010/2011
1,2,BayerLeverkusen,Bundesliga,2010/2011
2,3,BayernMunich,Bundesliga,2010/2011
3,4,Hannover,Bundesliga,2010/2011
4,5,Mainz,Bundesliga,2010/2011
5,6,Nuernberg,Bundesliga,2010/2011
6,7,Kaiserslautern,Bundesliga,2010/2011
7,8,HamburgerSV,Bundesliga,2010/2011
8,9,Freiburg,Bundesliga,2010/2011
9,10,FCKoln,Bundesliga,2010/2011
10,11,Hoffenheim,Bundesliga,2010/2011
11,12,VfBStuttgart,Bundesliga,2010/2011
12,13,WerderBremen,Bundesliga,2010/2011
13,14,Schalke,Bundesliga,2010/2011
14,15,Wolfsburg,Bundesliga,2010/2011
15,16,BorussiaMGladbach,Bundesliga,2010/2011
16,17,EintrachtFrankfurt,Bundesliga,2010/2011
17,18,StPauli,Bundesliga,2010/2011
0,1,BorussiaDortmund,Bundesliga,2011/2012
1,2,BayernMunich,Bundesliga,2011/2012
2,3,Schalke,Bundesliga,2011/2012
3,4,BorussiaMGladbach,Bundesliga,2011/2012
4,5,BayerLeverkusen,Bundesliga,2011/2012
5,6,VfBStuttgart,Bundesliga,2011/2012
6,7,Hannover,Bundesliga,2011/2012
7,8,Wolfsburg,Bundesliga,2011/2012
8,9,WerderBremen,Bundesliga,2011/2012
9,10,Nuernberg,Bundesliga,2011/2012
10,11,Hoffenheim,Bundesliga,2011/2012
11,12,Freiburg,Bundesliga,2011/2012
12,13,Mainz,Bundesliga,2011/2012
13,14,Augsburg,Bundesliga,2011/2012
14,15,HamburgerSV,Bundesliga,2011/2012
15,16,HerthaBerlin,Bundesliga,2011/2012
16,17,FCKoln,Bundesliga,2011/2012
17,18,Kaiserslautern,Bundesliga,2011/2012
0,1,BayernMunich,Bundesliga,2012/2013
1,2,BorussiaDortmund,Bundesliga,2012/2013
2,3,BayerLeverkusen,Bundesliga,2012/2013
3,4,Schalke,Bundesliga,2012/2013
4,5,Freiburg,Bundesliga,2012/2013
5,6,EintrachtFrankfurt,Bundesliga,2012/2013
6,7,HamburgerSV,Bundesliga,2012/2013
7,8,BorussiaMGladbach,Bundesliga,2012/2013
8,9,Hannover,Bundesliga,2012/2013
9,10,Nuernberg,Bundesliga,2012/2013
10,11,Wolfsburg,Bundesliga,2012/2013
11,12,VfBStuttgart,Bundesliga,2012/2013
12,13,Mainz,Bundesliga,2012/2013
13,14,WerderBremen,Bundesliga,2012/2013
14,15,Augsburg,Bundesliga,2012/2013
15,16,Hoffenheim,Bundesliga,2012/2013
16,17,FortunaDuesseldorf,Bundesliga,2012/2013
17,18,GreutherFuerth,Bundesliga,2012/2013
0,1,BayernMunich,Bundesliga,2013/2014
1,2,BorussiaDortmund,Bundesliga,2013/2014
2,3,Schalke,Bundesliga,2013/2014
3,4,BayerLeverkusen,Bundesliga,2013/2014
4,5,Wolfsburg,Bundesliga,2013/2014
5,6,BorussiaMGladbach,Bundesliga,2013/2014
6,7,Mainz,Bundesliga,2013/2014
7,8,Augsburg,Bundesliga,2013/2014
8,9,Hoffenheim,Bundesliga,2013/2014
9,10,Hannover,Bundesliga,2013/2014
10,11,HerthaBerlin,Bundesliga,2013/2014
11,12,WerderBremen,Bundesliga,2013/2014
12,13,EintrachtFrankfurt,Bundesliga,2013/2014
13,14,Freiburg,Bundesliga,2013/2014
14,15,VfBStuttgart,Bundesliga,2013/2014
15,16,HamburgerSV,Bundesliga,2013/2014
16,17,Nuernberg,Bundesliga,2013/2014
17,18,EintrachtBraunschweig,Bundesliga,2013/2014
0,1,BayernMunich,Bundesliga,2014/2015
1,2,Wolfsburg,Bundesliga,2014/2015
2,3,BorussiaMGladbach,Bundesliga,2014/2015
3,4,BayerLeverkusen,Bundesliga,2014/2015
4,5,Augsburg,Bundesliga,2014/2015
5,6,Schalke,Bundesliga,2014/2015
6,7,BorussiaDortmund,Bundesliga,2014/2015
7,8,Hoffenheim,Bundesliga,2014/2015
8,9,EintrachtFrankfurt,Bundesliga,2014/2015
9,10,WerderBremen,Bundesliga,2014/2015
10,11,Mainz,Bundesliga,2014/2015
11,12,FCKoln,Bundesliga,2014/2015
12,13,Hannover,Bundesliga,2014/2015
13,14,VfBStuttgart,Bundesliga,2014/2015
14,15,HerthaBerlin,Bundesliga,2014/2015
15,16,HamburgerSV,Bundesliga,2014/2015
