,name,club,age,position,apps,mins,goals,assists,yel,red,shots,ps%,aerials_won,motm,rating,tackles,interceptions,fouls,offsides_won,clearances,dribbled,blocks,own_goals,key_passes,dribblings,fouled,offsides,dispossed,bad_controls,avg_passes,crosses,long_passes,through_passes,league,season
0,Lionel Messi,Barcelona,32,FW,29(5),2710,36,13,3,-,5,81.3,0.2,17,8.48,0.4,0.1,0.6,-,-,0.5,-,-,2.7,3.9,1.9,0.5,2.3,1.9,53.8,0.4,3.4,0.9,LaLiga,2018/2019
1,Álex Sola,Real Sociedad,20,D(R),1,90,-,-,-,-,2,80.8,-,-,8.03,4,1,1,-,2,1,-,-,1,4,2,-,2,2,52,1,1,-,LaLiga,2018/2019
2,Luis Suárez,Barcelona,32,FW,31(2),2830,21,6,5,-,3.4,75.3,0.7,5,7.57,0.5,0.2,0.9,-,0.7,0.2,0.1,-,1.4,1.1,1.7,0.8,1.6,2.3,29,0.2,1.5,0.1,LaLiga,2018/2019
3,Iago Aspas,Celta Vigo,32,FW,26(1),2262,20,6,5,-,2.6,82,0.9,6,7.51,0.6,0.6,0.6,-,0.2,0.6,-,-,2.1,0.7,1.6,0.3,1.3,1.1,32.1,0.2,1.4,0.2,LaLiga,2018/2019
4,Daniel Parejo,Valencia,30,M(C),35(1),3063,9,7,6,1,1.2,85.8,0.9,9,7.40,2,1.3,0.8,-,0.6,1.6,0.2,-,2.3,1,1.5,-,0.6,0.9,61.5,1.9,5.6,0.1,LaLiga,2018/2019
5,Karim Benzema,Real Madrid,32,FW,35(1),2964,21,6,1,-,2.9,82.6,1.2,7,7.38,0.7,0.2,0.6,-,0.7,0.4,-,-,1.3,1.3,0.6,1,1.3,1.7,32.9,0.1,1.1,0.1,LaLiga,2018/2019
6,Carlos Isaac,Atletico,21,D(R),1,90,-,-,-,-,1,85.4,1,-,7.35,-,1,-,-,-,2,-,-,1,2,1,-,1,3,41,-,-,-,LaLiga,2018/2019
7,Antoine Griezmann,Atletico,28,FW,37,3204,15,9,5,-,3.1,78.3,1.1,4,7.29,0.8,0.3,0.5,-,0.6,0.5,-,-,2,0.5,0.9,0.3,1.3,1.5,37.5,0.6,1.3,0.1,LaLiga,2018/2019
8,Ousmane Dembélé,Barcelona,22,FW,20(9),1673,8,5,1,-,1.3,80.7,0.3,3,7.25,0.8,0.2,0.8,-,0.1,0.4,-,-,1.6,2.3,0.8,0.3,1.5,1.3,31.4,0.8,1,0.1,LaLiga,2018/2019
9,Rodri,Atletico,23,DMC,32(2),2743,3,1,5,-,0.8,91.1,2.3,3,7.24,3,1.2,1.7,-,2,1.1,0.3,-,0.5,0.6,1.3,-,0.9,0.6,56.7,-,3.4,-,LaLiga,2018/2019
10,Wissam Ben Yedder,Sevilla,29,FW,31(4),2821,18,9,4,-,2.2,73.9,1.1,3,7.23,0.5,0.3,0.7,-,0.1,0.3,-,-,1.3,1.3,0.7,0.9,1.1,1.9,21.6,0.1,0.5,0.1,LaLiga,2018/2019
11,Gorka Iraizoz,Girona,38,GK,6(1),558,-,-,-,-,-,60.4,0.4,1,7.21,0.1,0.1,-,-,1.4,-,-,-,-,0.1,-,-,-,-,26.7,-,8,-,LaLiga,2018/2019
12,Guillermo Maripán,Deportivo Alaves,25,D(C),22(1),2009,2,2,5,-,0.7,75.3,4.2,2,7.20,2,1.7,0.7,0.9,5.7,0.5,0.8,-,0.1,0.1,0.4,-,-,0.2,30.8,-,3.7,-,LaLiga,2018/2019
13,Gerard Piqué,Barcelona,32,D(C),35,3150,4,2,6,-,0.5,91.4,3.4,-,7.18,1.2,1,0.7,0.4,4.2,0.4,0.8,-,0.2,0.3,0.6,0.1,0.3,0.5,68.3,-,4.3,-,LaLiga,2018/2019
14,Jaume Doménech,Valencia,29,GK,4,360,-,-,-,-,-,56.2,0.8,-,7.18,-,-,-,-,0.5,0.3,-,-,-,-,-,-,-,-,18.3,-,7.5,-,LaLiga,2018/2019
15,Saúl Ñíguez,Atletico,25,M(CLR),32(1),2925,4,1,10,-,1.6,78.8,2.9,4,7.17,2.5,1.3,1.7,0.1,2.2,1.5,0.3,1,0.5,1,0.8,0.2,1,1.4,44.9,0.1,1.5,0.1,LaLiga,2018/2019
16,Raúl García,Athletic Bilbao,33,FW,27(6),2379,9,3,13,-,2.5,55.7,5.8,6,7.17,1.8,0.6,3,-,1.1,1.4,-,-,0.8,0.4,1.8,0.3,0.9,1.5,27,0.1,0.8,0.1,LaLiga,2018/2019
17,Pablo Sarabia,Sevilla,27,FW,30(3),2730,12,13,9,-,2.3,79.6,0.3,5,7.16,0.9,0.7,1.4,0.1,0.5,1.2,0.1,-,2.1,0.8,1.5,0.5,1.1,1.9,36.6,1.3,1.2,0.1,LaLiga,2018/2019
18,Casemiro,Real Madrid,27,DMC,27(2),2316,3,-,5,1,1.4,88,3,4,7.15,3,1.4,1.6,0.2,1.8,1.9,0.4,-,0.5,0.6,1.7,-,0.6,0.5,55.8,0.1,4.9,-,LaLiga,2018/2019
19,Joan Jordán,Eibar,25,M(C),32(4),2879,4,4,10,-,1.6,83.4,1.4,4,7.14,1.8,0.9,1.6,-,0.5,1.4,0.1,-,1.9,1.3,1,0.1,0.9,1.3,46.8,1.8,4.8,-,LaLiga,2018/2019
20,José Giménez,Atletico,24,D(CR),19(2),1772,-,-,5,-,0.7,80.5,2.7,-,7.13,1.2,2.1,0.4,0.2,6,0.6,0.7,-,0.1,0.3,0.9,-,0.1,0.4,34.2,-,4.1,-,LaLiga,2018/2019
21,José Campaña,Levante,26,M(CLR),36,3213,4,9,12,-,0.6,84.4,1.2,4,7.10,1.8,1.3,1.2,0.1,1.2,1.6,0.2,-,1.6,1.3,1,0.1,0.9,1.2,51.6,1.2,3,-,LaLiga,2018/2019
22,Álvaro Morata,Atletico,27,FW,13(2),1089,6,1,5,-,2,59.4,4.1,1,7.10,1.3,0.3,1.9,-,0.9,0.5,-,-,0.3,1.3,1.3,0.9,1.5,2.2,17.1,-,0.1,0.1,LaLiga,2018/2019
23,Javi Galán,SD Huesca,25,M(L),16,1440,-,2,7,-,0.1,65.2,1.1,1,7.10,3.8,1.2,0.9,0.3,2.3,1.6,0.1,-,1.1,1.8,1.4,0.1,0.9,1.8,24.8,0.9,0.9,0.1,LaLiga,2018/2019
24,Santi Cazorla,Villarreal,35,M(CLR),30(5),2651,4,10,2,-,0.9,86.6,0.3,5,7.09,2,0.8,0.6,-,0.4,1.3,0.2,-,2.1,1.4,1.7,-,1.5,1.4,44.9,1.3,3.9,0.1,LaLiga,2018/2019
25,Toni Kroos,Real Madrid,29,M(C),26(2),2227,-,4,2,-,1.1,93.2,0.8,2,7.09,1.8,0.5,0.8,-,0.4,1.5,0.1,-,2.3,0.5,2,-,0.4,0.6,74,1.5,7.8,0.1,LaLiga,2018/2019
26,Sergio Camello,Atletico,18,FW,0(1),45,1,-,-,-,3,88.9,-,-,7.09,1,-,-,-,-,-,-,-,1,-,-,-,-,1,9,-,-,-,LaLiga,2018/2019
27,Koke,Atletico,27,M(CLR),29(1),2588,3,4,8,1,0.7,86.2,0.5,1,7.09,2.8,1,1.1,-,1.1,1.7,0.2,-,2,0.4,1.3,0.1,1.3,1,64.7,1,3.2,0.1,LaLiga,2018/2019
28,Jonathan Calleri,Deportivo Alaves,26,FW,33(1),2878,9,2,6,-,2.4,59.1,6,7,7.08,0.6,0.2,2.1,-,1.6,0.7,0.2,-,0.9,1.2,2.1,0.4,2.2,3.4,20.3,0.3,0.4,-,LaLiga,2018/2019
29,Éver Banega,Sevilla,31,M(C),32,2681,3,4,15,2,1,85.4,0.3,2,7.08,2.2,0.9,1.8,-,0.8,1.6,0.2,-,1.7,1.8,2.1,0.1,1.8,1.3,65.3,1,6.5,0.1,LaLiga,2018/2019
