,name,club,age,position,apps,mins,goals,assists,yel,red,shots,ps%,aerials_won,motm,rating,tackles,interceptions,fouls,offsides_won,clearances,dribbled,blocks,own_goals,key_passes,dribblings,fouled,offsides,dispossed,bad_controls,avg_passes,crosses,long_passes,through_passes,league,season
0,Nenê,PSG,30,FW,35,3091,14,9,3,-,3.5,71,0.3,13,7.81,1.5,1.5,1.2,-,0.3,0.7,0.1,-,3.4,1.7,3.8,0.3,1.9,2.5,34.7,2.9,1.7,0.2,Ligue 1,2010/2011
1,Mamadou Samassa,Marseille,25,FW,0(1),34,1,-,-,-,4,100,2,-,7.52,1,-,1,-,-,-,-,-,2,1,2,-,-,2,15,-,2,-,Ligue 1,2010/2011
2,Romain Sartre,Lens,29,DMC,1,90,-,-,-,-,3,86.8,1,-,7.51,3,1,1,-,12,1,2,-,-,-,2,-,-,-,38,-,8,-,Ligue 1,2010/2011
3,Laurent Pionnier,Montpellier,29,GK,1,90,-,-,-,-,-,68.2,-,-,7.50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,22,-,6,-,Ligue 1,2010/2011
4,Eden Hazard,Lille,20,FW,35(3),3085,7,10,2,-,1,80.4,0.3,7,7.47,0.9,1.1,0.9,-,0.1,0.5,-,-,2.6,2.7,3.6,0.2,2.6,1.8,41.8,0.9,0.8,0.2,Ligue 1,2010/2011
5,Yohan Benalouane,Saint-Etienne,24,D(CR),0(1),74,-,1,-,-,-,66.7,2,-,7.45,1,4,-,-,7,2,-,-,1,-,-,-,-,-,15,-,2,-,Ligue 1,2010/2011
6,Hatem Ben Arfa,Marseille,24,FW,0(1),34,-,1,-,-,1,94.4,-,-,7.37,-,-,1,-,-,-,-,-,3,2,3,-,1,-,18,1,1,1,Ligue 1,2010/2011
7,Moussa Sow,Lille,25,FW,33(3),2817,25,3,-,-,2.8,70,1.5,8,7.37,0.4,0.8,0.6,-,0.4,0.1,0.1,-,0.9,1,1,0.6,1.6,1.3,19.4,0.3,0.3,0.1,Ligue 1,2010/2011
8,Dimitri Payet,Saint-Etienne,24,FW,28(5),2526,13,3,5,-,2.7,69.6,0.2,7,7.37,1,0.8,0.8,-,0.3,0.4,0.1,-,2.5,1.2,2.2,0.1,2.5,1.1,28.6,1.6,2.2,0.5,Ligue 1,2010/2011
9,Yohan Cabaye,Lille,25,M(C),36,3099,2,8,10,-,2.6,82.5,0.3,1,7.37,3,3,1.9,-,0.6,1.6,0.1,-,1.6,0.3,1.1,-,0.9,0.8,60.5,1,5.7,0.3,Ligue 1,2010/2011
10,Emir Spahic,Montpellier,31,D(C),23,1977,1,1,8,1,0.4,79.4,2.1,1,7.34,2.6,3,1.5,0.7,10.3,0.3,0.3,-,0.2,0.2,1.2,-,0.4,-,43.2,-,3.6,-,Ligue 1,2010/2011
11,André Ayew,Marseille,22,FW,32(5),2797,11,2,6,-,1.9,78.8,1.2,3,7.34,2.5,1.6,1.8,0.1,0.2,0.5,-,-,1.1,1.7,2.1,0.2,1.4,1.3,27.6,0.3,0.6,-,Ligue 1,2010/2011
12,Kader Mangane,Rennes,28,DMC,29,2576,3,-,3,1,1,78,1.9,2,7.29,2.2,2.4,1.6,1.1,8.7,0.5,0.7,-,0.3,0.5,0.7,0.1,0.4,0.3,39.6,-,3,-,Ligue 1,2010/2011
13,Marvin Martin,Sochaux,23,M(C),37,3312,3,19,6,-,1.7,82,0.4,2,7.29,1.6,0.8,1.1,-,0.5,0.5,0.2,-,2.1,0.7,1.6,0.1,1.8,0.7,45.4,1.6,3.5,0.3,Ligue 1,2010/2011
14,Benoit Pedretti,Auxerre,31,M(C),20,1800,5,4,6,-,1.5,77.8,0.8,4,7.27,1.7,1.9,1.6,-,2.2,0.9,0.2,-,2.3,0.4,1.9,-,1,1.5,59.1,1.4,7.3,0.1,Ligue 1,2010/2011
15,Teddy Richert,Sochaux,37,GK,15,1306,-,-,-,-,-,55.4,0.1,4,7.27,0.1,0.1,-,-,1.8,0.3,-,-,0.1,-,0.1,-,-,0.1,26.9,-,10.6,-,Ligue 1,2010/2011
16,Julien Féret,Nancy,29,M(C),36,3082,6,6,3,-,1.8,70.9,2.1,3,7.26,1.7,1.8,0.9,-,0.7,0.6,-,-,2.1,1.4,1.5,0.1,1.5,2.1,36.9,0.8,1.8,0.3,Ligue 1,2010/2011
17,Willy Boly,Auxerre,20,D(C),8,720,1,-,1,-,0.5,74.6,1.8,2,7.26,2.6,2.8,1.9,0.4,8.4,0.5,0.5,-,-,0.1,0.1,-,0.3,0.3,25.6,-,1.9,-,Ligue 1,2010/2011
18,Benoit Cheyrou,Marseille,30,M(C),27(7),2471,3,5,1,-,1.3,82.3,0.5,6,7.26,2.2,2.3,1.5,-,0.6,0.6,0.1,-,1.8,0.9,0.9,-,1.3,1,41.5,1.1,3.6,0.2,Ligue 1,2010/2011
19,Lisandro López,Lyon,28,FW,24(3),2091,17,4,2,-,2.2,80.6,0.5,5,7.26,1.1,0.8,1.3,-,0.1,0.4,0.1,-,1,0.9,1.7,0.4,2,1.8,32.2,0.1,1.1,0.1,Ligue 1,2010/2011
20,Etienne Capoue,Toulouse,23,M(CL),37,3330,2,-,5,-,0.7,78,1.7,2,7.25,3.3,3,2.8,0.2,2.1,1.2,0.3,-,0.4,0.9,2,-,0.5,0.4,53.4,0.1,5.4,0.1,Ligue 1,2010/2011
21,Adil Hermach,Lens,25,M(C),30(1),2639,4,5,1,-,1.5,75,1.1,4,7.24,3.6,2.9,1.7,-,1.2,1.2,0.2,-,1.1,0.5,1.5,0.1,1.5,0.8,44.6,0.5,4.3,0.1,Ligue 1,2010/2011
