,name,club,age,position,apps,mins,goals,assists,yel,red,shots,ps%,aerials_won,motm,rating,tackles,interceptions,fouls,offsides_won,clearances,dribbled,blocks,own_goals,key_passes,dribblings,fouled,offsides,dispossed,bad_controls,avg_passes,crosses,long_passes,through_passes,league,season
0,Kevin De Bruyne,Man City,31,FW,25(5),2205,15,8,2,-,2.6,82.5,0.4,4,7.63,1.1,0.2,0.7,-,0.5,0.8,0.1,-,2.9,1,0.9,0.1,0.7,1.3,45.3,1,2.4,0.3,Premier League,2021/2022
1,Mohamed Salah,Liverpool,30,FW,30(5),2763,23,13,1,-,4,79.9,0.2,7,7.54,0.5,0.2,0.3,-,0.1,0.4,-,-,1.8,1.5,0.7,0.3,2.3,2.8,30.8,0.2,0.5,0.3,Premier League,2021/2022
2,Trent Alexander-Arnold,Liverpool,24,M(R),32,2854,2,12,2,-,1.6,78.1,0.5,5,7.52,1.3,1.3,0.4,0.4,1,1,0.1,-,2.8,0.6,0.2,0.3,0.6,1.3,67.3,2.6,6.3,0.3,Premier League,2021/2022
3,Son Heung-Min,Tottenham,30,FW,35,3021,23,7,2,-,2.5,86.6,0.5,6,7.51,0.4,0.4,0.4,-,0.2,0.5,0.2,-,2.1,1.5,1,0.5,1.3,2.1,29,1.2,0.5,0.1,Premier League,2021/2022
4,Kenedy,Chelsea,26,M(LR),1,59,-,1,-,-,1,73.9,-,-,7.46,5,-,-,-,-,1,-,-,2,1,-,-,3,2,46,-,2,-,Premier League,2021/2022
5,Harry Kane,Tottenham,29,FW,36(1),3232,17,9,5,-,3.6,70.3,2,7,7.45,0.4,0.1,1.1,0.1,1.1,0.3,0.2,-,1.4,1.5,1.5,0.4,1.6,2.6,23.6,0.2,1.8,0.3,Premier League,2021/2022
6,Luis Díaz,Liverpool,25,AM(L),11(2),964,4,3,-,-,2.9,87.7,1.2,1,7.44,0.7,0.3,1.1,-,0.2,0.5,-,-,1.5,2.4,1.1,0.2,2,2.1,33.8,0.4,0.5,-,Premier League,2021/2022
7,Rodri,Man City,26,DMC,33,2887,7,2,5,-,1.4,91.8,2.6,4,7.43,2.2,0.8,1.3,0.1,1.3,0.8,0.2,-,0.9,0.4,0.6,-,0.7,0.5,86.8,0.1,5.5,0.1,Premier League,2021/2022
8,Ben Chilwell,Chelsea,26,M(L),6(1),541,3,1,-,-,1.9,83,1,1,7.42,1.1,0.6,1.4,0.1,2,0.4,-,-,1.4,0.4,2.1,0.3,0.4,1.9,38.6,1,0.7,-,Premier League,2021/2022
9,João Cancelo,Man City,28,M(R),36,3228,1,7,7,-,2.3,85.3,1.6,5,7.42,2.3,1.6,0.9,0.3,0.9,1.3,0.1,-,1.1,1.6,0.7,0.1,0.7,1.3,82,0.6,3.9,0.1,Premier League,2021/2022
