,name,club,position,apps,mins,goals,assists,yel,red,shots,ps%,aerials_won,motm,rating,age,tackles,interceptions,fouls,offsides_won,clearances,dribbled,blocks,own_goals,key_passes,dribblings,fouled,offsides,dispossed,bad_controls,avg_passes,crosses,long_passes,through_passes,league,season
0,Lionel Messi,Barcelona,FW,30(5),2841,34,10,3,-,4.7,85.7,0.2,14,8.67,23.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
1,Cristiano Ronaldo,Real Madrid,FW,28(1),2490,26,7,3,2,7.3,79.7,0.9,13,8.54,25.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
2,Gonzalo Higuaín,Real Madrid,FW,28(4),2401,27,5,3,-,3.1,81.5,0.1,6,7.90,23.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
3,Dani Alves,Barcelona,M(CR),28(1),2505,3,10,7,1,1,85.1,1.1,2,7.85,27.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
4,Javi Martínez,Athletic Bilbao,M(C),34,3003,6,1,9,1,1.6,75.6,2.3,5,7.71,22.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
5,Sergio Ramos,Real Madrid,D(CR),33,2902,4,5,13,1,1.1,85.3,2,2,7.71,24.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
6,Marcelo,Real Madrid,M(L),34(1),3001,4,9,5,-,1.6,81,0.4,1,7.68,22.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
7,Xavi,Barcelona,DMC,31(3),2805,3,13,4,-,1.3,90.4,-,4,7.67,30.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
8,Xabi Alonso,Real Madrid,M(C),34,3010,3,5,12,-,1.2,85.6,1,1,7.58,29.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
9,Duda,Malaga,M(CLR),33(1),2917,8,7,8,2,2,63.8,0.5,6,7.56,30.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
14,Ruud van Nistelrooij,Real Madrid,FW,0(1),11,1,1,-,-,1,66.7,-,-,7.81,34.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
19,Juan Cala,Sevilla,D(C),5,450,3,-,1,-,1.8,76.6,2.2,1,7.66,21.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
20,Chema,Xerez,Goalkeeper,3,270,-,-,1,-,-,43.8,0.3,1,7.65,30.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
21,Antonio Luna,Sevilla,M(L),1,90,-,-,-,-,-,64.3,1,-,7.62,19.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
22,Armando,Athletic Bilbao,Goalkeeper,1,90,-,-,-,-,-,60,-,-,7.61,39.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
25,David Villa,Valencia,FW,31(1),2711,21,3,4,-,4.3,67.3,0.6,7,7.51,29.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
26,Zlatan Ibrahimovic,Barcelona,FW,23(6),2037,16,7,6,1,3.4,73.7,1,2,7.48,29.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
27,Pepe,Real Madrid,D(C),10,856,1,-,1,-,0.5,80.7,1.8,1,7.47,27.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
28,Luís Fabiano,Sevilla,FW,18(5),1645,15,3,9,-,3.3,69.4,1.1,5,7.45,30.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
29,Pedro León,Getafe,M(LR),33(2),2776,8,9,9,1,2.4,75.9,0.7,4,7.44,24.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
30,Kaká,Real Madrid,FW,21(4),1829,8,5,3,-,2.8,85.8,0.4,-,7.43,28.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
31,Eric Abidal,Barcelona,D(C),15(2),1407,-,4,3,-,0.1,83.2,0.7,-,7.42,31.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
32,Gonzalo Castro,Mallorca,FW,32(3),2868,6,8,6,-,2.1,74.7,0.2,3,7.42,26.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
33,Filipe Luís,Deportivo,D(L),20(1),1786,3,1,-,-,0.7,78.8,0.1,3,7.38,25.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
34,Fernando Llorente,Athletic Bilbao,FW,35(2),2870,14,5,-,-,3.1,61.1,4.1,5,7.34,25.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
35,Bolaño,Racing Santander,D(L),28(1),2507,2,-,6,-,0.4,68.4,1.6,2,7.34,25.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
36,David Silva,Valencia,FW,28(2),2424,8,7,6,-,2.4,81.7,0.5,4,7.34,24.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
