,name,club,position,apps,mins,goals,assists,yel,red,shots,ps%,aerials_won,motm,rating,tackles,interceptions,fouls,offsides_won,clearances,dribbled,blocks,own_goals,key_passes,dribblings,fouled,offsides,dispossed,bad_controls,avg_passes,crosses,long_passes,through_passes,league,season
0,Kylian Mbappé,PSG,FW,34(1),3032,28,17,10,-,4.2,82.2,0.1,12,8.04,0.3,0.1,0.8,-,0.4,0.2,-,-,2,3.2,1.5,1.1,1.6,3.2,38.3,0.6,1.2,0.1,Ligue 1,2021/2022
1,Andy Delort,Montpellier,FW,3,270,2,1,-,-,4.7,61,3.7,-,7.82,0.7,-,2,-,1.3,0.3,-,-,3,0.3,1,-,0.7,3.3,27.3,1.3,0.7,-,Ligue 1,2021/2022
2,Lionel Messi,PSG,FW,24(2),2153,6,14,-,-,3.4,86.7,0.2,5,7.77,0.4,0.2,0.2,-,-,0.4,-,-,2.4,2.5,1.3,0.4,1.6,1.8,61.7,0.3,3.1,0.7,Ligue 1,2021/2022
3,Neymar,PSG,FW,22,1861,13,6,10,-,2.5,82.2,0.2,2,7.65,1.3,0.2,1.4,-,0.1,1.1,-,-,2.8,2.6,3.2,0.5,3,3.7,55.5,0.5,1.7,0.5,Ligue 1,2021/2022
4,Tetê,Lyon,AM(R),7(2),585,2,5,1,-,1.9,82.8,0.4,2,7.48,1.1,0.3,0.4,-,0.1,1.1,-,-,1.4,2.4,2,0.3,1.2,1.6,24.6,0.6,0.9,0.1,Ligue 1,2021/2022
5,Gaëtan Laborde,Montpellier,FW,4,342,3,-,1,-,3.5,60.2,4.3,-,7.47,0.5,1.3,0.8,-,1.3,0.5,-,-,1,0.3,0.8,-,0.8,2,23.3,0.3,1,0.3,Ligue 1,2021/2022
6,Benjamin Bourigeaud,Rennes,M(CLR),38,3215,11,12,2,-,1.3,76.9,0.4,4,7.44,1.2,0.8,0.7,-,1,1.1,0.1,-,3.2,0.2,0.2,0.1,0.5,1.1,42.1,2.7,2.7,0.1,Ligue 1,2021/2022
7,Dimitri Payet,Marseille,FW,28(3),2597,12,10,3,-,2.2,81.8,0.1,6,7.44,0.5,0.3,0.3,-,0.1,0.8,-,-,3.2,0.9,1.4,0.1,1.1,1.4,45.5,2.3,2.6,0.5,Ligue 1,2021/2022
8,Martin Terrier,Rennes,FW,37,2805,21,3,1,-,2.4,81.1,1.1,4,7.41,1.5,0.5,0.8,-,0.5,0.5,0.1,-,1.1,0.8,1.1,0.2,0.6,1.6,24.9,0.2,1,0.1,Ligue 1,2021/2022
9,Téji Savanier,Montpellier,M(C),28(1),2422,8,7,7,2,2.8,72.4,0.5,8,7.40,1.6,0.9,1.6,-,0.4,1.3,-,-,2.1,2.6,2.7,0.1,1.2,2.9,47.5,1.6,5.5,0.2,Ligue 1,2021/2022
10,Mamadou Mbow,Reims,D(C),1,90,-,-,-,-,-,76,1,-,7.33,6,1,-,-,6,-,-,-,-,1,-,-,-,-,25,-,3,-,Ligue 1,2021/2022
11,Aurélien Tchouaméni,Monaco,DMC,33(2),2933,3,2,9,1,1.6,86.7,2.2,5,7.32,2.5,2.9,1.5,0.1,0.9,0.7,0.2,-,0.6,1.1,1.7,0.1,0.9,0.5,58.9,0.1,3.1,0.1,Ligue 1,2021/2022
12,Sofiane Boufal,Angers,FW,28(1),2345,8,4,6,-,2.2,78.3,0.4,5,7.27,1.5,0.2,1.5,-,-,0.7,0.1,-,1.9,3.1,2.8,0.5,2.6,3.8,30.9,1.2,1.2,0.1,Ligue 1,2021/2022
13,Danilo Barbosa,Nice,DMC,1,90,-,-,-,-,-,76.2,4,-,7.26,-,2,-,-,9,-,1,-,-,-,-,-,-,4,42,-,3,-,Ligue 1,2021/2022
14,Lucas Paquetá,Lyon,FW,32(3),2713,9,6,3,-,2.5,79.6,1.3,4,7.24,1.9,0.3,1.8,-,0.6,1,0.1,-,1.2,2.3,1.8,0.2,2.2,3.2,43.3,0.2,1.5,0.3,Ligue 1,2021/2022
15,Jonathan Clauss,Lens,M(R),35(2),3063,5,11,3,-,1.1,73.3,0.4,3,7.22,1.7,2,1,-,1.1,0.9,-,-,2,0.8,0.4,0.1,0.4,1.3,33.3,2.1,1.5,0.1,Ligue 1,2021/2022
16,Marco Verratti,PSG,M(C),23(1),1951,2,2,12,-,0.3,91.6,0.2,2,7.21,2.5,0.8,1.3,-,0.4,1.3,0.4,1,1.3,1.9,2,-,0.9,1.2,87.3,0.1,2.7,0.2,Ligue 1,2021/2022
17,Bruno Guimarães,Lyon,DMC,19(1),1642,-,3,2,-,0.6,88,0.6,3,7.21,2.5,1.1,1.6,0.1,0.4,1.8,0.2,-,1.8,1.9,3,0.1,1.4,1.3,66.5,0.3,4.7,0.3,Ligue 1,2021/2022
18,Moussa Dembélé,Lyon,FW,25(5),2209,21,4,6,-,2.9,66.1,2,4,7.21,0.6,0.3,1,-,1,0.3,-,-,0.9,0.8,0.6,0.3,1.5,3.1,14.4,-,0.1,-,Ligue 1,2021/2022
19,Romain Faivre,Brest,AM(CLR),20(1),1801,7,5,1,-,1.8,83.3,0.3,3,7.20,1.4,0.6,0.7,-,0.5,0.9,-,-,1.8,2,1.3,-,1.5,2.8,35,1.9,1.2,0.1,Ligue 1,2021/2022
20,Ángel Di María,PSG,FW,19(7),1654,5,7,2,-,2,80.3,-,3,7.17,1.1,0.2,0.3,-,0.1,0.9,-,-,2.1,1.2,0.5,0.3,0.6,1.8,39.7,1.3,1.8,0.2,Ligue 1,2021/2022
21,Karl Toko-Ekambi,Lyon,FW,26(4),2305,12,5,3,-,2.5,80.6,1.1,2,7.15,0.4,0.7,0.5,-,0.2,0.6,-,-,1.3,1.5,0.5,0.3,1.3,2.2,29,0.5,0.8,0.1,Ligue 1,2021/2022
22,Gaëtan Laborde,Rennes,FW,32(2),2741,12,8,1,-,2.5,65.7,2.6,4,7.14,0.6,0.2,0.9,-,0.5,0.6,0.1,-,1.1,0.3,0.6,0.6,0.6,2.7,18.4,0.4,0.2,0.1,Ligue 1,2021/2022
23,Andrei Girotto,Nantes,DMC,36,3150,6,1,8,-,1.3,81.6,3,4,7.13,2.4,1.9,1.4,0.4,3.9,1.4,0.9,-,0.3,0.2,0.8,-,0.1,0.5,46,-,3,-,Ligue 1,2021/2022
24,Franck Honorat,Brest,FW,34,2911,11,4,3,-,1.8,74.5,0.5,4,7.13,1.6,0.4,0.7,-,0.6,0.6,0.1,-,1.7,1.1,0.6,0.1,0.9,2.3,28.7,1.6,1.2,0.1,Ligue 1,2021/2022
25,Andy Delort,Nice,FW,26(6),2449,16,2,3,-,3.1,61.1,3.1,5,7.09,0.5,0.3,1.2,-,0.4,0.2,0.1,-,1,0.6,1.3,0.5,0.8,2.1,19.8,0.3,0.4,0.1,Ligue 1,2021/2022
26,Marcin Bulka,Nice,GK,1,90,-,-,-,-,-,83.3,-,-,7.08,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18,-,1,-,Ligue 1,2021/2022
27,Youcef Atal,Nice,M(R),13(4),1144,2,1,4,-,0.8,78.8,1.6,2,7.08,1.7,1.9,1,0.1,1.2,0.6,0.1,-,0.8,1.1,1.4,0.2,1.1,1.1,33.6,0.5,1.6,0.2,Ligue 1,2021/2022
28,Lovro Majer,Rennes,AM(CR),21(8),1841,6,8,1,-,1.6,81,0.1,1,7.06,1.1,0.4,1.2,-,0.3,1.1,0.1,-,1.6,1,1.1,-,0.9,1.6,33,0.8,1.6,0.1,Ligue 1,2021/2022
29,Ludovic Ajorque,Strasbourg,FW,31(5),2743,12,8,5,1,1.6,72.9,3.5,4,7.05,1,0.2,1.1,-,0.9,0.9,0.1,1,1.3,0.4,1,0.4,1,1.9,24.6,0.2,0.7,0.1,Ligue 1,2021/2022
30,Wissam Ben Yedder,Monaco,FW,29(8),2541,25,5,3,-,1.9,73.5,0.6,1,7.04,0.5,-,0.5,-,-,0.2,-,-,0.9,0.7,0.6,0.6,1.2,1.7,18.1,0.1,0.4,0.1,Ligue 1,2021/2022
31,Boubakar Kouyaté,Metz,D(C),30,2666,1,-,8,1,0.7,81.4,3.1,6,7.04,2.8,2.6,1.2,0.5,7,1,1.1,-,0.1,0.2,0.9,0.2,0.2,1,38.3,-,2.5,-,Ligue 1,2021/2022
