,name,club,position,apps,mins,goals,assists,yel,red,shots,ps%,aerials_won,motm,rating,tackles,interceptions,fouls,offsides_won,clearances,dribbled,blocks,own_goals,key_passes,dribblings,fouled,offsides,dispossed,bad_controls,avg_passes,crosses,long_passes,through_passes,league,season
0,Mattia Zaccagni,Verona,FW,2,180,2,-,-,-,2,83.3,2,1,8.47,1.5,2,0.5,-,-,0.5,-,-,2.5,3.5,3.5,-,4,1,30,3,0.5,0.5,Serie A,2021/2022
1,Luca Gemello,Torino,Goalkeeper,1,90,-,-,-,-,-,39.4,-,-,7.71,-,-,-,-,-,-,-,-,-,-,-,-,-,-,33,-,7,-,Serie A,2021/2022
2,Domenico Berardi,Sassuolo,FW,33,2838,15,14,9,-,3.3,74.8,0.5,8,7.43,1,0.9,1.6,-,0.7,1.3,0.1,-,2.5,0.9,2.3,0.3,1.3,1.9,38.9,0.8,3.1,0.3,Serie A,2021/2022
3,Rafael Leão,AC Milan,FW,31(3),2621,11,8,4,-,2.9,74.8,0.8,2,7.37,0.5,0.4,0.7,-,0.2,0.3,-,-,1.3,2.9,1.3,0.2,1.5,2.1,20.7,0.4,1,0.1,Serie A,2021/2022
4,Sergej Milinkovic-Savic,Lazio,AM(C),36(1),3111,11,11,4,1,2,81.4,2.8,7,7.36,1.8,0.9,1.5,-,1.1,1,0.2,-,1.4,1.2,1.2,0.1,1.3,2.7,62.2,0.3,2.6,0.1,Serie A,2021/2022
5,Lorenzo Pellegrini,Roma,M(CL),27(1),2300,9,5,6,1,3.3,77.7,0.6,6,7.34,1.3,1,1.6,-,0.7,1.6,-,-,2.4,1.5,1.8,0.3,0.9,2.3,32.9,2,1.9,0.1,Serie A,2021/2022
6,Dusan Vlahovic,Fiorentina,FW,21,1862,17,2,2,-,3.6,70.6,2,5,7.33,0.2,-,0.9,-,0.7,0.4,0.1,-,1,1,2.3,0.9,2,3.9,18,0.2,1,0.1,Serie A,2021/2022
7,Ciro Immobile,Lazio,FW,31,2718,27,2,4,-,3.8,78,0.7,2,7.31,0.3,0.1,1.2,-,0.5,0.5,-,-,0.9,0.6,1.3,0.4,1.4,2.5,27.9,0.1,0.6,0.1,Serie A,2021/2022
8,Luis Muriel,Atalanta,FW,17(10),1543,9,8,1,-,2.1,75.6,1.1,4,7.30,0.6,0.1,0.5,-,0.2,0.6,-,-,2.2,2.3,1,0.3,1.7,2.3,24.9,1.1,0.7,0.1,Serie A,2021/2022
9,Hakan Çalhanoglu,Inter,FW,33(1),2509,7,12,11,-,1.9,86.8,0.3,5,7.28,1.2,0.7,1.1,-,0.3,0.9,0.1,-,2.6,0.4,0.8,-,0.6,1.3,47.5,2.1,3.1,0.1,Serie A,2021/2022
10,Wisdom Amey,Bologna,Defender,1,72,-,-,-,-,-,69,3,-,7.27,3,3,1,-,1,1,-,-,-,-,2,-,-,-,29,-,3,-,Serie A,2021/2022
