,position,club,league,season
0,1,BorussiaDortmund,Bundesliga,2011/2012
1,2,BayernMunich,Bundesliga,2011/2012
2,3,Schalke,Bundesliga,2011/2012
3,4,BorussiaMGladbach,Bundesliga,2011/2012
4,5,BayerLeverkusen,Bundesliga,2011/2012
5,6,VfBStuttgart,Bundesliga,2011/2012
6,7,Hannover,Bundesliga,2011/2012
7,8,Wolfsburg,Bundesliga,2011/2012
8,9,WerderBremen,Bundesliga,2011/2012
9,10,Nuernberg,Bundesliga,2011/2012
10,11,Hoffenheim,Bundesliga,2011/2012
11,12,Freiburg,Bundesliga,2011/2012
12,13,Mainz,Bundesliga,2011/2012
13,14,Augsburg,Bundesliga,2011/2012
14,15,HamburgerSV,Bundesliga,2011/2012
15,16,HerthaBerlin,Bundesliga,2011/2012
16,17,FCKoln,Bundesliga,2011/2012
17,18,Kaiserslautern,Bundesliga,2011/2012
