,position,club,league,season
0,1,Barcelona,LaLiga,2014/2015
1,2,RealMadrid,LaLiga,2014/2015
2,3,AtleticoMadrid,LaLiga,2014/2015
3,4,Valencia,LaLiga,2014/2015
4,5,Sevilla,LaLiga,2014/2015
5,6,Villarreal,LaLiga,2014/2015
6,7,AthleticBilbao,LaLiga,2014/2015
7,8,CeltaVigo,LaLiga,2014/2015
8,9,Malaga,LaLiga,2014/2015
9,10,Espanyol,LaLiga,2014/2015
10,11,RayoVallecano,LaLiga,2014/2015
11,12,RealSociedad,LaLiga,2014/2015
12,13,Elche,LaLiga,2014/2015
13,14,Levante,LaLiga,2014/2015
14,15,Getafe,LaLiga,2014/2015
15,16,DeportivoLaCoruna,LaLiga,2014/2015
16,17,Granada,LaLiga,2014/2015
17,18,Eibar,LaLiga,2014/2015
18,19,Almeria,LaLiga,2014/2015
19,20,Cordoba,LaLiga,2014/2015
