,position,club,league,season
0,1,ParisSaintGermain,Ligue 1,2014/2015
1,2,Lyon,Ligue 1,2014/2015
2,3,Monaco,Ligue 1,2014/2015
3,4,Marseille,Ligue 1,2014/2015
4,5,SaintEtienne,Ligue 1,2014/2015
5,6,Bordeaux,Ligue 1,2014/2015
6,7,Montpellier,Ligue 1,2014/2015
7,8,Lille,Ligue 1,2014/2015
8,9,Rennes,Ligue 1,2014/2015
9,10,Guingamp,Ligue 1,2014/2015
10,11,Nice,Ligue 1,2014/2015
11,12,SCBastia,Ligue 1,2014/2015
12,13,Caen,Ligue 1,2014/2015
13,14,Nantes,Ligue 1,2014/2015
14,15,Reims,Ligue 1,2014/2015
15,16,Lorient,Ligue 1,2014/2015
16,17,Toulouse,Ligue 1,2014/2015
17,18,ThononEvianGrandGeneve,Ligue 1,2014/2015
18,19,Metz,Ligue 1,2014/2015
19,20,Lens,Ligue 1,2014/2015
