,position,club,league,season
0,1,ManchesterCity,Premier League,2020/2021
1,2,ManchesterUnited,Premier League,2020/2021
2,3,Liverpool,Premier League,2020/2021
3,4,Chelsea,Premier League,2020/2021
4,5,Leicester,Premier League,2020/2021
5,6,WestHam,Premier League,2020/2021
6,7,Tottenham,Premier League,2020/2021
7,8,Arsenal,Premier League,2020/2021
8,9,Leeds,Premier League,2020/2021
9,10,Everton,Premier League,2020/2021
10,11,AstonVilla,Premier League,2020/2021
11,12,Newcastle,Premier League,2020/2021
12,13,Wolverhampton,Premier League,2020/2021
13,14,CrystalPalace,Premier League,2020/2021
14,15,Southampton,Premier League,2020/2021
15,16,Brighton,Premier League,2020/2021
16,17,Burnley,Premier League,2020/2021
17,18,Fulham,Premier League,2020/2021
18,19,WestBromwich,Premier League,2020/2021
19,20,SheffieldUnited,Premier League,2020/2021
