,position,club,league,season
0,1,ACMilan,Serie A,2010/2011
1,2,Inter,Serie A,2010/2011
2,3,Napoli,Serie A,2010/2011
3,4,Udinese,Serie A,2010/2011
4,5,Lazio,Serie A,2010/2011
5,6,Roma,Serie A,2010/2011
6,7,Juventus,Serie A,2010/2011
7,8,Palermo,Serie A,2010/2011
8,9,Fiorentina,Serie A,2010/2011
9,10,Genoa,Serie A,2010/2011
10,11,Chievo,Serie A,2010/2011
11,12,ParmaCalcio,Serie A,2010/2011
12,13,Catania,Serie A,2010/2011
13,14,Cagliari,Serie A,2010/2011
14,15,Cesena,Serie A,2010/2011
15,16,Bologna,Serie A,2010/2011
16,17,Lecce,Serie A,2010/2011
17,18,Sampdoria,Serie A,2010/2011
18,19,Brescia,Serie A,2010/2011
19,20,Bari,Serie A,2010/2011
