,name,club,age,position,apps,mins,goals,assists,yel,red,shots,ps%,aerials_won,motm,rating,tackles,interceptions,fouls,offsides_won,clearances,dribbled,blocks,own_goals,key_passes,dribblings,fouled,offsides,dispossed,bad_controls,avg_passes,crosses,long_passes,through_passes,league,season
0,Arjen Robben,Bayern,31,FW,20(1),1679,17,7,-,-,4.2,83.1,0.9,11,8.45,0.5,0.4,0.5,-,-,0.7,-,-,2.4,4.5,1.3,0.4,1.2,1.1,48,0.8,1.6,0.2,Bundesliga,2014/2015
2,Kevin De Bruyne,Wolfsburg,24,FW,34,3052,10,20,3,-,2.8,74.5,0.5,6,7.95,1.2,0.7,1.1,-,0.3,1.2,0.1,-,3.3,2.9,1.5,0.5,1.8,1.5,44.7,1.6,4.5,0.3,Bundesliga,2014/2015
4,Franck Ribéry,Bayern,32,FW,9(6),959,5,7,2,-,1.5,84.3,0.4,1,7.93,1.4,0.5,1.1,-,0.1,0.5,-,-,1.9,3.8,1.5,0.3,1.6,0.9,55.3,0.5,2.6,0.1,Bundesliga,2014/2015
6,Roberto Firmino,Hoffenheim,24,FW,33,2918,7,10,5,-,2.9,72.7,2.3,5,7.79,2.7,1.2,2.2,-,0.8,1.8,-,-,2.1,4.2,1,0.2,2.2,2.3,39.8,0.2,0.6,0.2,Bundesliga,2014/2015
8,Naldo,Wolfsburg,33,D(C),32,2879,7,2,5,-,1.6,83.6,4.8,5,7.78,2.5,3.7,1.3,0.8,5,0.9,0.7,-,0.3,0.6,0.8,-,0.3,0.2,54,-,6.1,-,Bundesliga,2014/2015
10,Ricardo Rodríguez,Wolfsburg,23,M(L),26,2294,6,4,2,-,1.3,80.9,3.3,3,7.72,1.5,2.3,0.8,0.3,2.5,0.7,0.2,-,2.1,1.4,1.1,0.1,1,0.5,56.1,1.7,4.8,-,Bundesliga,2014/2015
12,Cléber Reis,Hamburg,25,D(C),11(1),1029,1,-,4,1,1.1,77.4,5.6,2,7.68,3.4,3.4,1.5,0.6,8.8,0.8,0.4,-,-,1.2,0.8,-,0.8,0.8,49.8,0.1,3.8,-,Bundesliga,2014/2015
14,Karim Bellarabi,Leverkusen,25,FW,32(1),2725,12,6,5,-,3.2,67.3,0.6,5,7.64,1.1,0.8,1.9,-,0.2,1.4,-,-,1.4,4.7,1.9,0.9,2.5,1.5,27.3,0.2,0.7,0.1,Bundesliga,2014/2015
16,Granit Xhaka,Borussia M.Gladbach,23,M(C),30,2639,2,1,10,1,2,86.1,3.2,3,7.61,2.7,2.7,2.7,-,1.9,1.2,0.6,-,0.7,1.4,1.4,0.1,1.2,0.8,78.2,-,7.8,0.2,Bundesliga,2014/2015
18,Mats Hummels,Borussia Dortmund,27,D(C),23(1),2032,2,-,2,-,0.9,77.3,6.1,4,7.60,2.5,2.2,0.7,0.7,4.8,1.1,0.6,-,0.4,0.8,0.6,-,0.3,0.5,59,-,5.1,-,Bundesliga,2014/2015
20,Bas Dost,Wolfsburg,26,FW,17(4),1530,16,4,1,-,2,64.9,4.3,2,7.59,0.6,0.1,1,-,1.1,0.5,0.1,-,,,,,,,,,,,Bundesliga,2014/2015
21,Marco Reus,Borussia Dortmund,26,FW,18(2),1571,7,5,1,-,3.3,75.7,0.8,5,7.54,1.5,0.9,1.4,-,0.6,1,0.1,-,,,,,,,,,,,Bundesliga,2014/2015
22,Alexander Meier,Eintracht Frankfurt,32,FW,24(2),2210,19,2,-,-,3.1,66.3,5.3,6,7.54,0.7,0.6,1.3,-,0.7,0.6,0.2,-,,,,,,,,,,,Bundesliga,2014/2015
23,Eric Choupo-Moting,Schalke,26,FW,30(1),2557,9,6,-,-,2.2,71.1,2.9,5,7.50,1.4,0.6,1.1,-,0.8,0.9,0.1,-,,,,,,,,,,,Bundesliga,2014/2015
24,Stefan Bell,Mainz,24,D(CR),31,2790,3,1,2,-,0.7,76.4,5.4,6,7.50,2,2.8,0.7,0.8,5.6,0.9,0.8,-,,,,,,,,,,,Bundesliga,2014/2015
25,Xabi Alonso,Bayern,34,M(C),24(2),1973,2,3,6,-,0.8,90.1,2.5,2,7.47,2.2,1.5,1.4,0.1,0.9,1.4,0.2,-,,,,,,,,,,,Bundesliga,2014/2015
26,Timm Klose,Wolfsburg,27,D(C),11(1),959,1,-,-,-,0.3,84.3,4.7,1,7.44,1.5,3.3,1.3,0.7,5.5,0.7,0.9,-,,,,,,,,,,,Bundesliga,2014/2015
27,Nuri Sahin,Borussia Dortmund,27,M(C),6(1),544,1,-,-,-,1.9,74.5,3.1,-,7.44,3.7,2.9,1.1,0.3,0.9,1.6,-,-,,,,,,,,,,,Bundesliga,2014/2015
28,Robert Lewandowski,Bayern,27,FW,28(3),2487,17,5,-,-,3.4,76.3,2.2,1,7.43,0.2,0.3,1,-,0.4,0.4,-,-,,,,,,,,,,,Bundesliga,2014/2015
29,Lars Bender,Leverkusen,26,M(CR),25(1),2028,1,3,5,-,0.8,70.5,4.6,3,7.43,2.9,3.2,1.4,0.2,2.6,1.4,-,-,,,,,,,,,,,Bundesliga,2014/2015
30,Wendell,Leverkusen,22,M(L),25(1),2251,1,1,8,-,0.7,73.7,2,2,7.42,3.3,3.2,2.5,0.1,2.7,1.2,-,-,0.9,1.6,1.7,-,0.9,1,37.5,0.3,2.2,-,Bundesliga,2014/2015
31,Raffael,Borussia M.Gladbach,30,FW,28(3),2379,12,2,1,-,2.2,83.9,0.4,3,7.42,1.1,0.6,0.6,-,0.3,1.2,0.1,-,1.4,2.9,1.4,0.2,1.5,1.2,32.7,0.1,1.3,0.1,Bundesliga,2014/2015
32,Salif Sané,Hannover,25,DMC,16(2),1438,2,-,8,-,1.2,78.4,6.8,2,7.42,1.8,2.1,1.1,0.3,3.7,0.9,0.4,-,0.4,1.2,1.1,-,0.5,0.9,43.1,-,2.9,-,Bundesliga,2014/2015
33,Ömer Toprak,Leverkusen,26,D(C),27(2),2497,1,-,10,-,0.3,75.6,3.8,1,7.41,2.4,2.9,1.9,0.7,5.6,0.4,0.5,-,0.3,0.2,0.9,0.1,0.3,0.6,36.1,-,3.2,-,Bundesliga,2014/2015
