,name,club,age,position,apps,mins,goals,assists,yel,red,shots,ps%,aerials_won,motm,rating,tackles,interceptions,fouls,offsides_won,clearances,dribbled,blocks,own_goals,key_passes,dribblings,fouled,offsides,dispossed,bad_controls,avg_passes,crosses,long_passes,through_passes,league,season
0,Lionel Messi,Barcelona,33,FW,32(1),2881,25,21,4,-,4.8,82.6,0.3,22,8.71,0.6,0.2,0.6,-,-,0.5,-,-,2.7,5.5,2.1,0.4,2.4,2.1,59.8,0.8,2.2,0.6,LaLiga,2019/2020
1,Guillermo Maripán,Deportivo Alaves,26,D(C),1,90,-,-,-,-,-,75,5,-,7.54,1,2,-,1,9,1,-,-,-,-,-,-,-,-,12,-,1,-,LaLiga,2019/2020
2,Casemiro,Real Madrid,28,DMC,35,3091,4,3,12,-,1.3,84.1,2.9,3,7.47,2.7,1.9,2.5,0.1,1.9,1.7,0.3,-,0.4,0.8,1.9,0.1,0.8,0.7,61.5,0.2,6.5,-,LaLiga,2019/2020
3,Karim Benzema,Real Madrid,33,FW,36(1),3155,21,8,-,-,3.4,86.2,0.8,10,7.44,0.5,0.2,0.6,-,0.8,0.4,0.1,-,1.6,1,0.4,0.7,1.1,1.7,34.7,-,1.4,0.1,LaLiga,2019/2020
4,Luis Suárez,Barcelona,33,FW,22(6),2002,16,8,4,-,2.8,75.5,0.4,3,7.33,0.1,-,0.5,-,0.4,0.4,-,-,0.9,0.8,0.9,0.6,0.9,1.2,23.4,0.1,0.9,-,LaLiga,2019/2020
5,Mikel Merino,Real Sociedad,24,M(C),35(1),3144,5,1,9,-,1.2,75.8,5.1,5,7.31,2.2,1.4,2.1,0.1,1.4,1.6,0.2,-,0.9,1,2.5,0.1,1.4,1.6,53.7,0.2,2.2,-,LaLiga,2019/2020
6,Gerard Moreno,Villarreal,28,FW,33(2),2755,18,5,5,-,2.5,74.5,1.6,6,7.31,0.5,0.3,1,0.1,1.4,1.2,0.1,-,1.4,1.7,1.4,0.5,1.3,2.6,27.5,0.3,1.9,0.1,LaLiga,2019/2020
7,Eden Hazard,Real Madrid,29,FW,14(2),1088,1,3,-,-,1.2,85.9,0.4,1,7.30,0.4,0.4,0.8,-,-,0.8,-,-,1.3,3.1,3.1,0.1,2.1,1.8,35.9,0.2,1.4,-,LaLiga,2019/2020
8,Nabil Fekir,Real Betis,27,FW,31(1),2652,7,4,6,2,3.2,83.9,1,8,7.22,1.3,0.3,2.2,-,0.1,0.8,0.1,-,1.3,3.1,3.5,0.4,1.9,2.6,29.8,0.5,1.2,-,LaLiga,2019/2020
9,Saúl Ñíguez,Atletico,26,M(CLR),35,3076,6,-,10,-,1.3,79.3,3.4,5,7.22,2.7,1.6,1.8,0.1,1.6,1.4,0.4,-,0.4,0.8,0.7,0.2,0.9,1.1,47.7,0.1,2.2,0.1,LaLiga,2019/2020
10,Joselu,Deportivo Alaves,30,FW,31(5),2786,11,2,6,-,2.4,52,8.7,10,7.22,0.7,0.4,1.4,0.1,1.3,0.8,0.1,-,0.4,0.4,1.6,0.2,1.2,2.5,26.9,-,0.9,-,LaLiga,2019/2020
11,Lucas Ocampos,Sevilla,26,FW,31(2),2756,14,3,8,1,2.5,79.9,0.9,4,7.21,1.6,0.7,1.3,-,0.7,1.3,0.1,-,0.7,2.1,1.7,0.4,2.2,2.8,25.4,0.6,0.8,-,LaLiga,2019/2020
12,Raúl García,Athletic Bilbao,34,FW,33(2),2878,15,1,11,-,2.3,55.9,6.1,6,7.21,1.6,0.7,2.2,0.1,1.2,1.7,0.2,-,0.6,0.3,1.7,0.5,0.4,1.7,26.8,0.1,0.6,-,LaLiga,2019/2020
13,Toni Kroos,Real Madrid,30,M(C),31(4),2656,4,5,2,-,1.6,93.5,0.3,2,7.20,1.6,0.7,0.8,-,0.4,1.5,-,-,1.7,0.9,1.2,0.1,0.4,0.5,66.7,1,6.9,-,LaLiga,2019/2020
14,Daniel Carvajal,Real Madrid,28,D(R),31,2741,1,5,11,-,0.6,86.6,0.9,3,7.18,2.1,1.2,1.4,0.2,1.1,0.6,0.5,-,1.3,0.8,1,0.1,0.8,1.3,64.4,0.7,2.9,-,LaLiga,2019/2020
15,Santi Cazorla,Villarreal,36,M(CLR),29(6),2461,11,9,3,-,1.4,86.4,0.3,2,7.17,1.4,0.5,0.8,-,0.3,1.1,-,-,2,1.4,1.1,0.1,0.9,1.7,44.9,1.2,4,0.1,LaLiga,2019/2020
16,Koke Vegas,Levante,25,GK,2,180,-,-,-,-,-,63.3,-,-,7.16,-,-,-,-,1.5,0.5,-,-,-,-,1,-,-,-,24.5,-,6,-,LaLiga,2019/2020
17,Chimy Avila,Osasuna,26,FW,18(2),1593,9,2,6,-,3.5,57.2,3.1,5,7.16,0.9,0.2,2.3,-,0.3,0.6,-,-,1.1,0.8,2.2,1.2,1.5,2.5,14.5,0.2,0.8,-,LaLiga,2019/2020
18,Marcelo,Real Madrid,32,M(L),15,1299,1,2,2,-,1.1,84.2,0.7,1,7.15,1.3,1.2,0.5,0.1,1.2,1.3,0.1,-,1.7,1.2,1.2,-,0.7,1.3,59.2,1.1,3.3,0.1,LaLiga,2019/2020
19,Nacho,Real Madrid,30,D(CLR),4(2),438,1,-,3,-,1,86.8,2.7,1,7.14,1.8,2,1.5,0.2,2.5,0.7,0.5,-,0.5,0.2,1.2,-,0.3,0.8,41.7,0.3,1.3,-,LaLiga,2019/2020
20,Rafinha,Celta Vigo,28,M(CLR),25(4),2121,4,1,5,-,1.1,87.1,0.9,4,7.13,2.4,1.1,1.2,-,0.7,1.4,0.1,-,0.8,2.1,3.4,0.1,1.7,2.1,44.1,0.1,1.8,0.2,LaLiga,2019/2020
21,Martin Ødegaard,Real Sociedad,22,AM(CR),29(2),2533,4,6,3,-,1.6,84.7,0.3,4,7.10,0.9,0.5,0.8,-,0.1,0.9,-,-,2,2,1.2,-,1.2,1.7,48.2,1.1,1.8,0.2,LaLiga,2019/2020
22,Éver Banega,Sevilla,32,M(C),28(5),2483,3,7,10,-,1.2,86,0.5,4,7.10,1.3,0.5,0.9,-,0.1,1.5,-,-,1.8,1.8,1.7,0.1,1.2,1.6,67,1.5,7.3,0.2,LaLiga,2019/2020
23,Sergio Reguilón,Sevilla,24,M(L),29(2),2509,2,4,8,-,0.9,81.4,1.3,2,7.10,1.8,1.1,1.8,0.4,1.4,1.2,0.2,-,1.3,1.6,1.5,0.1,0.8,1.6,47.4,0.9,2.3,-,LaLiga,2019/2020
24,Thomas Partey,Atletico,27,M(CR),29(6),2553,3,-,13,-,0.9,83.4,1.9,4,7.08,2,1.4,1.4,-,1.1,0.9,0.2,-,0.5,1.6,0.9,-,0.4,0.7,46.8,0.1,2.9,-,LaLiga,2019/2020
25,Sébastien Corchia,Espanyol,30,M(R),3,270,-,-,1,-,1,85.2,-,1,7.08,0.7,1.7,1.3,-,1.7,0.7,0.7,-,2.3,2,1.7,-,1,1.3,40.7,3,1.7,-,LaLiga,2019/2020
26,Sergio Ramos,Real Madrid,34,D(CR),35,3017,11,-,10,-,1.1,91,2,1,7.07,1.3,1.4,1.5,0.4,2.8,0.6,0.3,-,0.1,0.3,0.8,0.2,0.1,0.4,61.4,-,6.8,-,LaLiga,2019/2020
27,Sergio Busquets,Barcelona,32,DMC,29(4),2491,2,2,10,-,0.3,89.9,1.2,1,7.07,2.4,1.3,1.4,-,0.6,0.9,0.2,-,0.7,0.7,1.5,-,0.4,0.5,78,-,3.3,0.2,LaLiga,2019/2020
28,André-Frank Zambo Anguissa,Villarreal,25,M(C),28(8),2582,2,-,6,-,0.8,87.8,2.3,5,7.06,2.1,1.2,1.2,-,0.8,1.4,0.2,-,0.5,2.4,1.1,-,1.3,2,40.6,0.1,1.6,-,LaLiga,2019/2020
29,Mikel Oyarzabal,Real Sociedad,23,FW,36(1),3063,10,11,4,-,1.7,77.5,1.3,5,7.05,1,0.4,0.9,-,0.4,0.8,0.1,-,1.4,1.8,1.5,0.4,1.4,2.4,28,0.6,1.2,0.1,LaLiga,2019/2020
30,Gerard Piqué,Barcelona,33,D(C),35,3096,1,-,15,-,0.4,91.8,3.7,1,7.03,0.9,1,0.9,0.7,4.3,0.3,0.7,-,0.1,0.2,0.5,-,0.3,0.4,76.6,-,4.3,-,LaLiga,2019/2020
31,Yassine Bounou,Sevilla,29,GK,5(1),495,-,1,1,-,-,68.8,0.5,2,7.03,-,-,-,-,1,-,-,-,0.2,-,0.2,-,-,-,24,-,6.8,-,LaLiga,2019/2020
32,Koke,Atletico,28,M(CLR),30(2),2699,4,5,5,-,0.7,85.2,0.9,1,7.02,2.2,0.9,0.7,0.1,0.7,1.9,0.3,-,1.8,0.4,1,-,1.1,1.4,51.4,0.6,1.3,0.1,LaLiga,2019/2020
33,Daniel Parejo,Valencia,31,M(C),35,3030,8,3,4,1,1,86.3,0.5,6,7.01,1.9,0.6,0.7,-,0.5,2,0.3,-,1.7,1.1,2.6,0.1,0.9,1,64.1,1.4,6,0.1,LaLiga,2019/2020
34,Luka Modric,Real Madrid,35,M(C),22(9),1998,3,7,7,1,1,88.6,0.4,4,7.01,1.2,0.7,1,-,0.3,0.8,0.1,-,1.3,1.4,0.9,-,0.9,1,44.8,0.5,3.7,0.1,LaLiga,2019/2020
35,Ferland Mendy,Real Madrid,25,M(L),19(6),1806,1,2,6,1,0.3,87.9,1,-,7.01,1.3,0.9,1,0.2,1,0.2,0.2,-,0.8,2,1.2,-,0.7,1.5,40.4,0.5,2,-,LaLiga,2019/2020
36,Santiago Arias,Atletico,28,D(R),11(3),1076,-,1,1,-,0.4,78.2,1.8,-,7.00,2.6,1.4,0.6,0.1,1.1,0.6,0.5,-,0.8,0.4,1.1,0.1,0.2,0.8,36.4,0.4,1.1,-,LaLiga,2019/2020
37,José Campaña,Levante,27,M(CLR),35(2),3160,2,7,2,1,1.2,81.4,1.2,1,7.00,1,1.2,0.8,-,1,1.1,0.1,-,2,1.7,1.6,0.1,0.9,1.8,52.7,1.1,2.8,0.1,LaLiga,2019/2020
38,Yeray Álvarez,Athletic Bilbao,25,D(C),32,2811,-,-,2,-,0.4,78.3,3.4,1,6.99,1.1,1.9,0.6,0.5,4.2,0.4,0.7,-,0.2,0.4,1,-,0.2,0.4,45.9,0.1,3.6,-,LaLiga,2019/2020
39,Kieran Trippier,Atletico,30,M(R),23(2),1981,-,4,2,-,0.1,76.7,1.1,-,6.99,2.1,1,0.8,0.2,1.5,0.8,0.3,-,1.6,0.5,0.5,0.1,0.4,0.9,37.6,1.3,1.8,0.1,LaLiga,2019/2020
40,Iago Aspas,Celta Vigo,33,FW,37,3268,14,3,9,-,2.3,77,0.8,2,6.99,0.8,0.6,0.7,-,0.1,0.9,-,-,1.5,1.4,1.8,0.5,1.2,2,34.1,0.1,1.1,-,LaLiga,2019/2020
41,Raphaël Varane,Real Madrid,27,D(C),32,2823,2,1,2,-,0.3,87.3,2.5,1,6.98,0.9,1,0.7,0.6,3.7,0.3,0.5,-,0.2,0.3,0.4,-,0.1,0.3,52.2,-,5,-,LaLiga,2019/2020
42,Aitor Fernández,Levante,29,GK,36,3240,-,-,2,-,-,61.5,0.4,2,6.97,-,0.1,-,-,1,-,-,-,-,-,0.1,-,0.1,-,25.3,-,5.9,-,LaLiga,2019/2020
43,Jeison Murillo,Celta Vigo,28,D(C),17(1),1529,1,-,5,-,0.5,86.6,3.2,1,6.97,2.1,1.1,1.1,0.5,4,0.5,0.5,-,0.1,0.2,1.1,0.2,0.1,0.4,39.8,-,2.7,-,LaLiga,2019/2020
44,Antoine Griezmann,Barcelona,29,FW,31(4),2562,9,4,2,-,1.6,81.8,0.9,1,6.97,0.9,0.3,0.3,-,0.5,0.7,0.1,-,0.9,0.6,0.6,0.5,0.6,1.2,31.9,0.1,0.9,0.1,LaLiga,2019/2020
45,Felipe,Atletico,31,D(C),23(2),2099,1,-,7,-,0.8,76.8,3.8,1,6.97,1.1,1.6,1.2,0.2,5,0.4,0.5,-,0.2,0.2,0.6,-,0.1,0.4,36.8,-,2.4,-,LaLiga,2019/2020
46,Víctor García,Real Valladolid,23,Midfielder,1(1),88,1,-,-,-,1,64.7,0.5,-,6.97,-,-,-,-,-,0.5,-,-,1.5,1.5,-,-,-,-,17,1,1,-,LaLiga,2019/2020
47,Fernando,Sevilla,33,DMC,30(4),2658,2,3,13,-,0.4,87.6,2.2,1,6.96,1.8,2,1.1,0.1,2,0.7,0.4,-,0.3,0.4,0.6,0.1,0.2,0.7,46,-,3.2,-,LaLiga,2019/2020
48,Adrián Embarba,Espanyol,28,FW,17(1),1381,2,4,4,-,2.2,68.4,0.6,2,6.96,2.1,0.9,1.3,-,0.4,0.9,0.2,-,1.3,1.6,1.5,0.1,1.4,2.5,17.6,1,0.7,0.1,LaLiga,2019/2020
49,Sergio Escudero,Sevilla,31,M(L),8(3),774,1,-,2,-,0.7,81.3,2.3,-,6.95,2.6,1.2,1,0.2,2.9,0.8,0.1,-,0.5,0.3,0.7,-,0.5,1,43.4,0.3,2,-,LaLiga,2019/2020
50,Yangel Herrera,Granada,22,M(C),28(2),2376,2,3,14,-,1.1,75.2,2.7,1,6.95,2.9,1.1,3,-,0.8,1.5,0.3,-,0.6,0.6,1.9,0.1,1.2,1,30.5,0.1,1.5,0.1,LaLiga,2019/2020
51,Munir El Haddadi,Sevilla,25,FW,14(7),1256,5,2,1,-,2.1,79,1.1,3,6.95,0.9,0.3,0.7,-,0.4,0.8,-,-,0.8,0.9,2.1,0.4,1.4,1.6,20.4,0.3,0.6,-,LaLiga,2019/2020
52,Joan Jordán,Sevilla,26,M(C),27(7),2267,2,2,8,-,0.9,87.3,1,2,6.94,1.9,0.8,1.9,-,0.6,1.6,0.1,-,1.1,1.2,1.1,0.1,0.6,1.1,48.8,0.8,4.1,-,LaLiga,2019/2020
53,Yuri Berchiche,Athletic Bilbao,30,M(L),32(1),2853,2,1,7,-,1.1,81.8,1.6,1,6.94,1.5,0.9,1,0.4,1.6,0.6,0.1,-,0.9,1.3,1.5,0.1,0.7,1.6,38.9,0.6,2.6,-,LaLiga,2019/2020
54,Oier Olazábal,Espanyol,31,GK,2,180,-,-,-,-,-,77.1,-,-,6.93,-,-,-,-,-,-,-,-,-,-,-,-,-,-,24,-,5,-,LaLiga,2019/2020
55,Rafinha,Barcelona,28,M(CLR),2(1),187,-,-,-,-,2,90,-,-,6.93,1,0.3,1,-,-,0.3,-,-,1.7,1.3,4,-,1.7,2,50,1,2.3,-,LaLiga,2019/2020
56,Ante Budimir,Mallorca,29,FW,33(2),2782,13,2,12,-,1.6,64,4.7,3,6.92,0.9,0.2,1.9,-,0.8,0.6,0.1,-,0.4,0.6,1.7,0.5,1,2.5,16.5,-,0.1,-,LaLiga,2019/2020
57,James Rodríguez,Real Madrid,29,FW,5(3),419,1,1,1,-,1.1,82.3,0.6,-,6.91,2.1,0.4,0.6,-,0.1,0.8,-,-,1.8,0.1,1,0.3,0.4,1,33.9,0.8,2.5,0.5,LaLiga,2019/2020
58,Fabián Orellana,Eibar,34,AM(CLR),28(1),2398,8,7,9,1,1.4,76.9,0.6,2,6.91,1,0.7,0.7,-,-,1.3,-,-,1.7,2.4,1.9,0.3,3.2,2.6,30.5,1.3,1.4,0.1,LaLiga,2019/2020
59,Pervis Estupiñán,Osasuna,22,D(L),32(4),2978,1,5,9,-,0.5,74.6,1.2,4,6.91,2.3,1.6,1.2,0.3,1.3,1,0.2,-,1.2,1.6,1.1,0.1,0.9,1.7,35.5,1.1,1.5,-,LaLiga,2019/2020
60,Diego Carlos,Sevilla,27,D(C),35,3135,2,-,7,-,0.6,84.2,2.8,1,6.90,1,1.1,1.3,0.7,5,0.3,0.7,1,0.3,0.2,0.3,0.1,0.1,0.2,54.3,0.1,4.8,-,LaLiga,2019/2020
61,Darwin Machís,Granada,27,AM(LR),20(16),2130,7,5,5,-,2,72.4,0.6,2,6.90,0.6,0.9,1.2,-,0.1,0.4,0.1,-,1.1,1.5,1.2,0.3,0.8,1.7,12.1,0.8,0.4,-,LaLiga,2019/2020
62,Íñigo Martínez,Athletic Bilbao,29,D(C),33,2970,1,1,10,-,0.8,77.9,3.6,-,6.90,1.5,1.2,0.9,0.4,4.1,0.6,0.4,1,0.3,0.2,1.1,0.1,0.1,0.5,45.8,0.2,5.8,-,LaLiga,2019/2020
63,Marc Bartra,Real Betis,29,DMC,29(1),2527,3,1,8,-,0.8,85.3,3.4,2,6.90,2.1,1.2,1.1,1.2,4.1,0.9,0.8,-,0.2,0.5,0.9,-,0.3,0.6,55.7,-,3.5,-,LaLiga,2019/2020
64,Clément Lenglet,Barcelona,25,D(C),28,2428,2,1,7,2,0.4,92.3,2.3,-,6.90,1.6,1.3,1.1,0.6,2.6,0.6,0.5,-,0.2,0.2,0.9,0.1,0.2,0.1,76.4,-,3.8,-,LaLiga,2019/2020
65,Rubén García,Osasuna,27,FW,25(5),2197,8,2,6,-,1.9,75.4,0.9,2,6.90,1.8,0.4,1.5,-,0.6,0.9,0.2,-,1.6,1,0.9,0.2,1.1,2.5,29,1.3,1.7,-,LaLiga,2019/2020
66,Raúl de Tomás,Espanyol,26,FW,11(3),1074,4,-,5,-,2.5,78,1.9,-,6.89,0.6,0.7,1.6,-,0.3,0.6,0.1,-,0.4,2.1,1.7,0.5,1.6,3.1,18.9,0.1,1.2,0.1,LaLiga,2019/2020
67,Cote,Eibar,31,D(L),27(1),2362,1,1,4,-,0.9,70,1.8,2,6.89,1.9,1.2,0.8,0.2,1.9,0.6,0.3,-,1,1,0.5,-,0.4,1.1,36.6,1.4,3.2,-,LaLiga,2019/2020
68,Ángel Montoro,Granada,32,M(C),11(4),975,2,5,6,-,0.9,80.7,0.2,2,6.89,1.3,0.9,1.4,0.2,0.9,0.7,0.1,-,1.4,0.4,1.2,0.1,0.4,0.7,35.7,1.1,4.1,-,LaLiga,2019/2020
69,Joaquín,Real Betis,39,FW,25(9),2071,8,3,4,-,1,84.1,0.5,2,6.89,0.4,0.4,0.3,-,0.4,0.2,0.1,-,1.8,1.6,0.8,0.2,0.8,0.9,30.8,0.7,1,-,LaLiga,2019/2020
70,José Antonio Caro,Real Valladolid,26,Goalkeeper,3,245,-,-,-,-,-,32.6,0.7,-,6.89,0.3,-,-,-,1.7,-,-,-,-,-,-,-,-,-,29.7,-,6.3,-,LaLiga,2019/2020
71,Álvaro Morata,Atletico,28,FW,25(9),2105,12,2,4,1,2,64.4,3.9,4,6.88,0.5,0.1,1.6,-,0.7,0.4,0.1,-,0.7,0.6,1.7,1.1,1.4,2.2,14.6,-,0.1,0.1,LaLiga,2019/2020
72,Jesús Navas,Sevilla,35,M(R),37(1),3371,-,7,4,-,0.3,80.2,0.5,2,6.88,0.7,0.8,0.5,0.1,1.6,0.4,0.2,-,1.6,1,0.7,0.1,0.4,0.8,53.5,1.4,3.4,0.1,LaLiga,2019/2020
73,Moussa Wagué,Barcelona,22,D(R),1,90,-,-,-,-,-,88.1,1,-,6.88,2,1,1,1,-,-,-,-,-,3,-,-,1,-,59,-,3,-,LaLiga,2019/2020
74,Sergio Canales,Real Betis,29,M(CLR),36,3167,6,6,5,-,1.4,88.4,0.2,2,6.88,0.7,0.4,0.8,0.1,0.4,0.6,-,-,2.2,1.4,1.3,0.1,1.4,1,57.4,1.3,3.5,0.1,LaLiga,2019/2020
75,Ander Capa,Athletic Bilbao,28,M(R),32(3),2875,3,4,10,-,0.5,75.1,1.3,2,6.88,1.8,0.8,1.3,0.1,1.5,1,0.2,-,0.7,1.6,0.4,0.2,0.6,1.1,32.7,0.5,1,-,LaLiga,2019/2020
76,Jordi Alba,Barcelona,31,M(L),25(2),2190,2,5,7,-,0.3,88.6,0.2,-,6.87,0.7,1.4,0.7,0.2,1,0.8,0.1,-,1.1,0.4,0.7,0.2,0.2,0.6,70.7,0.5,2.4,0.1,LaLiga,2019/2020
77,Jules Koundé,Sevilla,22,D(CR),25(4),2307,1,1,6,-,0.8,85.9,3.2,-,6.87,0.8,0.8,0.7,0.3,3,0.3,0.4,-,0.1,0.6,0.4,-,0.2,0.6,49.9,0.1,3,-,LaLiga,2019/2020
78,Rubén Rochina,Levante,29,M(CLR),22(6),1887,4,4,5,-,2.1,76.1,0.8,4,6.86,1.5,0.4,1,-,0.6,1.2,-,-,1,1.8,1.7,0.1,1.4,1.8,31.4,0.5,3.3,0.1,LaLiga,2019/2020
79,Cucho Hernández,Mallorca,21,FW,17(5),1494,5,1,3,1,2,68.2,2.6,2,6.86,0.7,0.5,0.7,-,0.6,0.7,-,-,0.8,1.4,1.7,0.2,1.5,2.3,19,0.3,0.5,-,LaLiga,2019/2020
80,Víctor Díaz,Granada,32,D(CLR),33(3),2887,1,5,4,-,0.4,67.1,1.9,2,6.86,2.1,1.3,0.6,0.2,2.4,0.8,0.6,-,0.8,0.3,0.3,-,0.1,0.4,31,0.7,3.1,-,LaLiga,2019/2020
81,Luuk de Jong,Sevilla,30,FW,24(11),2063,6,1,2,-,1.6,69.3,4.2,2,6.86,0.6,0.2,0.8,-,0.6,0.3,-,-,0.7,0.2,1.1,0.4,0.6,1.3,15.1,-,0.4,-,LaLiga,2019/2020
82,Denis Suárez,Celta Vigo,26,M(CLR),20(6),1636,1,5,3,-,0.7,80.9,0.2,1,6.86,0.8,0.5,0.8,-,0.3,1,-,-,1.6,2.3,1.2,-,1.7,1.5,29.3,1,0.9,-,LaLiga,2019/2020
83,Yoel Rodríguez,Eibar,32,GK,4,271,-,-,1,-,-,45.3,0.3,1,6.86,-,0.3,0.3,-,0.8,-,-,-,-,-,-,-,-,-,21.5,-,8.3,-,LaLiga,2019/2020
84,Sergi Roberto,Barcelona,28,M(CR),27(3),2342,1,2,7,-,0.2,91.8,1,-,6.85,1.2,1.1,0.6,-,1.1,0.3,0.1,-,0.8,0.6,1.3,0.1,0.7,0.9,67.1,0.3,1.1,-,LaLiga,2019/2020
