,name,club,age,position,apps,mins,goals,assists,yel,red,shots,ps%,aerials_won,motm,rating,tackles,interceptions,fouls,offsides_won,clearances,dribbled,blocks,own_goals,key_passes,dribblings,fouled,offsides,dispossed,bad_controls,avg_passes,crosses,long_passes,through_passes,league,season
0,Nicolas Douchez,PSG,36,GK,1,90,-,-,-,-,-,91.7,1,-,8.32,-,-,-,-,-,-,-,-,-,-,-,-,-,-,24,-,4,-,Ligue 1,2015/2016
1,Zlatan Ibrahimovic,PSG,35,FW,29(2),2553,38,13,1,-,5,78.9,1.4,14,8.29,0.5,0.2,0.9,-,0.9,0.4,0.1,-,1.5,1.2,1.1,1.6,1.7,2.2,44.2,-,1.6,0.4,Ligue 1,2015/2016
2,Layvin Kurzawa,Monaco,24,M(L),3,229,1,-,1,-,1.3,75.4,3.3,3,7.97,2,3.7,1,-,2.3,0.7,-,-,1.7,2.3,1,-,-,1,46,1.7,1.7,-,Ligue 1,2015/2016
3,Ángel Di María,PSG,28,FW,26(3),2134,10,18,-,-,2.4,80.5,-,5,7.94,0.4,0.7,0.2,-,-,1.2,-,-,3.4,1.9,1,0.4,1.7,1.9,53.2,2.1,3.5,0.7,Ligue 1,2015/2016
4,Layvin Kurzawa,PSG,24,M(L),14(2),1287,3,5,1,-,1,89.9,1.9,1,7.90,2.9,3.3,0.9,0.3,2.1,0.6,0.2,-,0.9,1.5,0.5,0.1,1.1,1.1,50.1,0.6,0.6,0.1,Ligue 1,2015/2016
5,Serge Aurier,PSG,24,M(R),21,1887,2,2,8,-,1,88.4,2.8,-,7.75,4,3.4,1.7,0.2,3.2,1.3,0.1,-,0.6,1.2,1,0.2,1.2,1.7,55,0.5,1.2,-,Ligue 1,2015/2016
6,Mathieu Gorgelin,Lyon,26,GK,1,90,-,-,-,-,-,51.9,-,-,7.72,-,-,-,-,3,-,-,-,-,-,-,-,-,-,27,-,6,-,Ligue 1,2015/2016
7,Thiago Silva,PSG,32,D(C),29(1),2622,1,1,3,-,0.5,94.6,2.4,2,7.65,1.7,3.1,0.6,0.6,4.8,0.5,0.7,-,0.3,0.5,0.8,-,0.1,0.1,80.6,0.1,3.7,0.1,Ligue 1,2015/2016
8,Hatem Ben Arfa,Nice,29,FW,33(1),2844,17,6,2,-,2.7,79.7,0.2,5,7.58,0.4,0.3,0.9,-,0.1,0.4,-,-,1,4.5,1.4,0.3,2.5,2.1,36.7,1,1.9,0.2,Ligue 1,2015/2016
9,Sofiane Boufal,Lille,23,FW,27(2),2343,11,4,10,2,1.7,77.1,0.4,6,7.56,1.8,0.2,2,-,0.1,0.8,-,-,2.5,4.4,2.5,-,3.9,3.3,32.1,1.5,0.8,0.1,Ligue 1,2015/2016
10,Ousmane Dembélé,Rennes,19,FW,22(4),1937,12,5,1,-,2.2,72.3,0.3,7,7.55,0.8,0.7,0.1,-,0.1,0.6,-,-,1.7,4.1,1.2,0.3,2.3,2.5,23.2,0.9,0.6,0.1,Ligue 1,2015/2016
11,Ricardo Pereira,Nice,23,M(R),26,2281,-,4,6,-,0.1,84.4,1.9,5,7.48,3.9,2.9,1.2,0.2,2.7,1.5,0.1,-,0.6,1.8,1.6,-,1,1,50.5,0.6,2.4,-,Ligue 1,2015/2016
12,Djibril Sidibé,Lille,24,M(R),36(1),3275,4,3,3,-,1.1,78.5,1.5,3,7.45,3.3,3.2,1.1,0.3,1.5,1.2,0.3,-,1,1.4,1.5,0.2,1.6,1.9,40.8,0.6,1.5,-,Ligue 1,2015/2016
13,Gregory van der Wiel,PSG,28,M(R),16(1),1381,2,3,2,-,0.5,89.8,1,-,7.45,2.4,3,0.8,0.1,1.9,1.1,0.2,-,0.7,0.8,0.5,-,0.7,0.8,54,0.3,1.2,0.1,Ligue 1,2015/2016
14,Wahbi Khazri,Bordeaux,25,FW,20,1588,5,7,7,-,2,77.4,1,6,7.44,2.1,0.7,1.4,-,0.4,1.1,-,-,2.7,1.8,2,0.6,2.7,2.1,29.4,2.3,2,0.2,Ligue 1,2015/2016
15,Salvatore Sirigu,PSG,29,GK,2(1),225,-,-,-,-,-,80,-,-,7.42,-,-,-,-,0.7,-,-,-,-,-,-,-,-,0.3,23.3,-,3.7,-,Ligue 1,2015/2016
16,Erwin Koffi,Lorient,21,D(R),1,90,-,-,-,-,-,75,1,-,7.41,1,5,1,-,2,-,2,-,-,1,-,-,-,-,48,-,1,-,Ligue 1,2015/2016
17,Lucas Moura,PSG,24,FW,26(10),2328,9,4,3,-,1.8,85.1,0.9,1,7.40,1.3,0.8,0.8,-,0.1,0.9,-,-,1.6,2.7,1.6,0.2,1.9,1.8,33.9,0.7,0.4,0.3,Ligue 1,2015/2016
18,Aïssa Laïdouni,Angers,20,DMC,1,90,-,-,-,-,-,77.8,1,-,7.38,3,3,1,-,2,-,-,-,1,-,1,-,-,-,36,1,2,-,Ligue 1,2015/2016
19,Alexandre Lacazette,Lyon,25,FW,34,2959,21,3,5,-,2.8,77.6,0.9,2,7.36,1.1,0.3,1.6,-,-,0.6,-,-,1.3,1.7,1.9,0.7,2.4,2.6,30.2,0.1,0.4,0.1,Ligue 1,2015/2016
20,Almamy Touré,Monaco,20,M(R),9(1),760,3,2,3,-,1,75.5,2.3,-,7.35,1.9,2.4,1.3,0.3,3.6,0.5,0.1,-,0.7,0.7,0.7,0.1,1,0.8,30.2,0.9,1.9,-,Ligue 1,2015/2016
21,Loic Perrin,Saint-Etienne,31,D(C),24,2103,3,1,-,1,0.6,84.5,4.7,2,7.35,2.3,2.1,0.8,0.9,4.8,0.7,0.4,-,0.2,0.3,1.1,0.1,-,0.5,53.6,-,2.8,-,Ligue 1,2015/2016
22,Maxime Gonalons,Lyon,27,M(C),33,2892,-,-,7,-,0.7,89.6,3.4,1,7.35,3.3,2.7,1.6,0.3,1.4,1.8,0.2,1,0.3,0.8,1.7,-,0.7,0.7,57,-,5.5,-,Ligue 1,2015/2016
23,Fabinho,Monaco,23,DMC,34,3060,6,4,9,-,0.9,81.4,1.9,1,7.34,3.2,2.2,2,0.2,2.5,1.3,0.2,-,0.7,0.9,1.7,0.1,0.5,0.8,43,0.6,3.1,-,Ligue 1,2015/2016
24,Mathieu Debuchy,Bordeaux,31,M(R),9,783,-,-,1,-,0.7,77,2.2,-,7.33,4,4,1.7,0.1,2.8,1,-,-,0.3,0.8,0.9,0.3,0.4,0.8,32.9,0.8,1.4,-,Ligue 1,2015/2016
25,Henri Saivet,Bordeaux,26,FW,18,1560,2,-,3,1,1.5,80.9,2.1,1,7.33,3.8,1.7,0.9,-,0.8,1.7,0.2,-,0.8,1.5,1.8,-,1.3,0.8,54.9,0.4,3.1,-,Ligue 1,2015/2016
26,Cheikh N'Doye,Angers,30,M(C),32,2775,9,4,5,2,2.1,66,6.9,6,7.32,1.9,1.1,2.3,-,2.8,0.8,0.3,-,0.8,0.6,1.4,0.1,1.8,1.2,35.4,-,0.8,-,Ligue 1,2015/2016
27,Rachid Ghezzal,Lyon,24,AM(CLR),16(13),1588,8,8,5,-,1.8,76.2,0.6,6,7.32,1.2,0.6,0.9,-,0.2,1.1,-,-,1.6,2.1,1.3,0.2,1.6,2,31,0.7,1.7,0.3,Ligue 1,2015/2016
28,Olivier Veigneau,Nantes,31,D(L),2,169,-,-,-,-,-,72,3,-,7.32,3.5,2,-,-,1,0.5,-,-,1,0.5,-,0.5,1.5,1,37.5,1,2,-,Ligue 1,2015/2016
29,Hervin Ongenda,PSG,21,AM(L),4(1),350,1,1,-,-,1,87.9,0.2,-,7.31,0.8,1.4,0.6,-,-,1,-,-,1.4,1,2,0.4,1.8,0.6,51.4,1.4,1,-,Ligue 1,2015/2016
30,Lassana Diarra,Marseille,31,M(C),25(1),2090,1,1,4,-,0.4,86.7,1.2,1,7.31,3,1.7,1.8,-,0.8,1.4,0.2,-,0.7,3,1.2,-,1.3,1.1,53.3,-,3,-,Ligue 1,2015/2016
31,Jérémy Pied,Nice,27,M(CLR),33,2961,-,3,10,-,0.7,79.7,1.3,3,7.30,3.6,3.1,1.2,0.2,2.1,1.2,0.1,-,1,1.2,1.3,-,0.9,1,51.8,0.7,1.4,-,Ligue 1,2015/2016
32,Christophe Jallet,Lyon,33,M(L),20(3),1761,1,5,2,1,0.9,85.1,1.3,1,7.29,3.8,1.8,0.9,0.3,2.3,1,0.2,-,1.1,0.6,0.4,0.2,0.9,0.6,54.9,0.5,2.4,-,Ligue 1,2015/2016
