,name,club,age,position,apps,mins,goals,assists,yel,red,shots,ps%,aerials_won,motm,rating,tackles,interceptions,fouls,offsides_won,clearances,dribbled,blocks,own_goals,key_passes,dribblings,fouled,offsides,dispossed,bad_controls,avg_passes,crosses,long_passes,through_passes,league,season
0,Mousa Dembélé,Fulham,26,M(CR),2,180,-,-,-,-,1,96,0.5,1,8.42,4.5,1,1,-,1.5,0.5,-,-,1.5,6,1,-,2,1.5,63,0.5,2,-,Premier League,2012/2013
1,Kieran Richardson,Sunderland,29,M(CL),1,90,-,-,-,-,-,83.8,-,-,7.96,3,2,2,-,6,-,1,-,1,-,-,-,-,1,37,-,1,1,Premier League,2012/2013
2,Ján Mucha,Everton,31,GK,2,180,-,-,-,-,-,46.6,-,1,7.95,-,-,-,-,3,-,-,-,-,-,-,-,-,-,29,-,9,-,Premier League,2012/2013
3,Gareth Bale,Tottenham,24,FW,33,2925,21,4,6,-,5,78.6,1.7,11,7.92,1,1.3,0.7,0.1,1.8,0.5,0.1,1,2.3,1.8,1.4,0.3,1.6,1.7,34.2,1.9,1.1,0.1,Premier League,2012/2013
4,Luis Suárez,Liverpool,26,FW,33,2955,23,5,10,-,5.7,76.6,0.4,9,7.89,1.3,0.5,1.5,-,0.1,0.5,0.1,-,2.8,2.9,1.8,1.2,2.8,2.4,36.5,0.5,2.2,0.4,Premier League,2012/2013
5,Santi Cazorla,Arsenal,29,M(CLR),37(1),3311,12,11,1,-,3,86.8,0.2,9,7.86,1.9,1.8,0.4,-,0.3,1.7,-,-,2.6,2.3,1.3,-,1.7,1.1,65,1.2,4.9,0.8,Premier League,2012/2013
6,Robin van Persie,Man Utd,30,FW,35(3),3123,26,9,6,-,3.7,80.4,1.3,10,7.71,0.6,0.4,1,-,1.2,0.2,0.2,-,1.9,0.7,1.4,1.2,2,1.3,26.8,1.1,1.1,0.1,Premier League,2012/2013
7,Daniel Sturridge,Liverpool,24,FW,11(3),1093,10,3,2,-,4.4,85,0.1,2,7.64,0.4,0.6,0.4,-,-,0.1,0.1,-,2.1,1.7,1.1,0.9,2.1,1.6,26.1,0.1,2.1,0.1,Premier League,2012/2013
8,Jan Vertonghen,Tottenham,26,D(CL),34,3060,4,3,7,-,1.1,87.1,1.6,5,7.62,3.1,2.9,0.7,0.8,8.7,0.6,0.2,-,0.7,0.8,0.7,0.1,0.6,0.6,47.8,0.3,3.6,0.1,Premier League,2012/2013
9,Marouane Fellaini,Everton,26,M(C),31,2786,11,5,8,-,2.9,79.3,4.8,8,7.59,2.6,1.2,2.6,-,2.1,0.4,0.1,-,1.3,0.6,1.5,0.4,2.4,2.5,52.5,0.1,1.8,0.1,Premier League,2012/2013
10,Andy Carroll,West Ham,24,FW,22(2),1939,7,4,5,-,3.3,60.9,9.3,2,7.58,0.7,0.5,1.6,-,2.5,0.2,0.3,-,1.4,0.3,2.2,0.4,2.1,1.9,28.8,-,0.8,-,Premier League,2012/2013
11,Matt Upson,Stoke,34,D(C),1,90,1,-,-,-,2,62.1,2,-,7.56,1,2,-,-,12,-,1,-,-,-,-,-,-,-,29,-,3,-,Premier League,2012/2013
12,Steven Gerrard,Liverpool,33,M(C),36,3223,9,9,5,-,2.6,85.5,1.1,3,7.54,2.4,1.4,1,-,1.7,0.8,0.2,1,2.6,0.5,0.5,0.1,0.8,0.5,66.3,1.4,8.4,0.3,Premier League,2012/2013
13,Chico Flores,Swansea,26,D(C),26,2241,-,-,5,1,0.8,89.4,2.5,3,7.47,3.3,3.5,1.4,0.6,8.7,0.9,0.7,-,0.3,0.3,1.1,-,0.5,0.3,56.8,-,3.1,-,Premier League,2012/2013
14,Christian Benteke,Aston Villa,23,FW,32(2),2824,19,4,7,1,3.1,65,7.9,8,7.45,0.5,0.3,1.9,-,0.9,0.2,0.2,-,1.5,0.7,1.5,1.5,2.4,2.2,33.5,0.1,1,0.1,Premier League,2012/2013
