,name,club,age,position,apps,mins,goals,assists,yel,red,shots,ps%,aerials_won,motm,rating,tackles,interceptions,fouls,offsides_won,clearances,dribbled,blocks,own_goals,key_passes,dribblings,fouled,offsides,dispossed,bad_controls,avg_passes,crosses,long_passes,through_passes,league,season
0,Josip Posavec,Palermo,20,GK,1,90,-,-,-,-,-,47.1,-,-,7.86,-,-,-,-,1,-,-,-,-,-,-,-,-,-,34,-,12,-,Serie A,2015/2016
1,Paul Pogba,Juventus,23,M(CL),33(2),3019,8,12,10,-,3.5,83.4,1.8,8,7.81,2.2,1.3,2.5,-,0.6,0.7,0.2,-,1.5,2.9,1.6,0.4,2.4,2.7,48.5,0.3,3.3,0.3,Serie A,2015/2016
2,Diego Perotti,Roma,28,FW,14(1),1205,3,7,2,-,1.7,84.8,0.5,3,7.80,1.4,0.5,0.9,-,0.5,1.1,0.1,-,2.1,3,1.9,-,1.7,1.9,47.9,1.5,1.3,0.1,Serie A,2015/2016
3,Gonzalo Higuaín,Napoli,29,FW,35,2978,36,2,1,1,5.2,78.1,0.3,9,7.74,0.5,0.3,0.9,-,0.4,0.5,0.1,-,1.5,1.4,1,0.9,1.9,1.7,25.9,0.1,1.3,0.1,Serie A,2015/2016
4,Paulo Dybala,Juventus,23,FW,29(5),2465,19,9,1,-,3.1,84.9,0.1,7,7.71,0.4,0.4,0.6,-,-,1,0.1,-,2.1,2.7,2.1,0.5,2.3,1.9,30.1,1.5,1.7,0.1,Serie A,2015/2016
5,Francesco Bardi,Frosinone,24,GK,2,120,-,-,1,-,-,35,0.5,1,7.53,-,-,-,-,1,-,-,-,-,-,-,-,-,0.5,20,-,7,-,Serie A,2015/2016
6,Franco Vázquez,Palermo,27,FW,36,3186,8,7,11,-,2.9,77.2,1.7,5,7.51,2.3,0.7,3.4,-,0.4,1.4,0.2,-,1.5,3.5,5.5,0.3,4.4,2.8,39.4,1,2.3,0.1,Serie A,2015/2016
7,Samir,Verona,22,D(CL),3,270,1,-,1,-,0.7,77.2,2.7,1,7.50,2.7,5.3,0.3,0.7,5,0.7,0.3,-,-,-,0.7,-,-,-,26.3,-,1.7,-,Serie A,2015/2016
8,Miralem Pjanic,Roma,26,M(C),30(3),2654,10,12,10,1,2.1,84.9,0.7,3,7.46,1.4,1.5,1.7,-,0.8,1.4,0.1,1,2.4,0.8,1.2,0.1,1.1,1.1,65.5,1.3,4.1,0.3,Serie A,2015/2016
9,Alex Sandro,Juventus,25,M(L),15(7),1490,2,3,5,1,0.8,84,1.5,3,7.45,1.8,2,1.5,-,1.6,0.4,0.1,-,1.9,1.8,1.6,-,0.9,1.1,36.2,1.2,2,-,Serie A,2015/2016
10,Lucas Biglia,Lazio,30,DMC,26(1),2299,4,3,9,1,0.7,88.2,0.8,3,7.43,3,2.5,1.8,-,1.2,1.6,0.3,-,2,1,2.1,-,1.3,0.7,69.1,1.3,5.3,0.1,Serie A,2015/2016
11,Giacomo Bonaventura,AC Milan,27,M(CLR),31(2),2841,6,8,8,-,3.2,82.2,0.6,7,7.39,0.8,1.2,1.3,-,0.9,0.7,0.1,-,2.1,2.3,2.5,0.1,2.2,1.5,43.9,1.4,2,0.1,Serie A,2015/2016
12,Papu Gómez,Atalanta,28,FW,33(1),2825,7,7,4,1,2.5,79.5,0.2,5,7.36,1.1,1.3,0.9,-,0.3,1.2,-,-,1.8,2.5,2.4,0.4,1.1,1.9,33.4,1.6,1.3,0.1,Serie A,2015/2016
13,Federico Viviani,Verona,24,DMC,17(2),1593,3,6,4,1,1.6,80.9,0.7,2,7.36,3,2.3,1.6,-,0.6,1.1,0.2,-,2.3,0.5,1.5,-,0.6,0.6,56.3,1.9,8.1,0.1,Serie A,2015/2016
14,Alberto Pelagotti,Empoli,27,GK,6,540,-,-,-,-,-,66.9,0.2,2,7.35,-,-,-,-,0.3,-,-,-,-,-,0.2,-,-,-,21.7,-,5.5,-,Serie A,2015/2016
15,Thiago Cionek,Palermo,30,D(CR),5,450,-,1,2,-,0.2,83.6,1.8,1,7.33,1.2,3.8,1.8,0.8,4.6,0.8,0.8,-,0.2,0.6,1.4,-,0.4,0.2,25.6,-,3,-,Serie A,2015/2016
16,Cristian Ansaldi,Genoa,30,M(CLR),23(1),2013,-,4,4,-,0.5,73.2,0.8,1,7.33,3,2.6,1.5,0.5,2.3,0.8,0.4,-,1,1.9,1.8,-,0.6,1.3,35.9,1,2.4,-,Serie A,2015/2016
17,Francesco Acerbi,Sassuolo,28,D(C),36,3240,4,-,3,-,0.4,87.1,1.7,3,7.32,1.4,3.9,0.6,1.2,5.2,0.3,0.6,-,0.2,0.5,0.8,0.1,0.1,0.2,50.1,-,4.3,-,Serie A,2015/2016
18,Mario Lemina,Juventus,23,DMC,7(3),727,2,-,4,-,0.5,89.8,0.7,-,7.32,2.3,1.6,1.8,-,1.1,1.4,0.2,-,0.5,2.2,0.9,-,0.6,0.1,46.3,-,3.9,-,Serie A,2015/2016
19,Stephan El Shaarawy,Roma,24,FW,15(1),1202,8,2,-,-,2.9,80.8,0.6,2,7.32,1.2,0.8,0.7,-,1,0.1,-,-,0.8,1.1,0.6,0.3,1.4,1.9,31.5,0.1,0.6,0.1,Serie A,2015/2016
20,Marek Hamsik,Napoli,29,FW,38,3245,6,11,-,-,2.2,86.6,0.7,2,7.31,1.5,0.6,0.4,-,0.5,1,0.1,-,2.5,1,0.7,0.1,1.5,1,79.3,0.2,4.4,0.3,Serie A,2015/2016
21,Claudio Marchisio,Juventus,30,M(C),23,1931,-,2,8,-,1.1,88.5,0.4,2,7.30,2.1,2.8,1.4,-,1,1.3,0.1,-,1,0.9,0.8,-,0.7,0.7,63.5,0.6,7.8,-,Serie A,2015/2016
22,Stefan de Vrij,Lazio,24,D(C),2,180,-,-,-,-,-,90.4,3,-,7.30,4,3,1.5,1,6.5,0.5,-,-,-,0.5,0.5,-,-,-,52,-,8,-,Serie A,2015/2016
23,Juan Cuadrado,Juventus,28,FW,16(12),1710,4,5,2,-,1.3,86.4,0.4,4,7.29,1.3,0.8,1.2,-,0.3,0.8,-,-,1.6,2.5,3.1,0.1,1.2,1,32.3,1.1,1.3,-,Serie A,2015/2016
24,Gervinho,Roma,29,FW,13(1),1089,6,1,-,-,1.9,85.9,-,3,7.28,0.5,0.7,0.2,-,0.1,0.1,0.1,-,1.1,2.5,0.4,0.9,0.9,1.6,22.9,-,0.1,-,Serie A,2015/2016
25,Tomás Rincón,Genoa,28,M(CR),33,2931,3,6,9,-,0.8,85.3,1.2,1,7.27,2.2,1.5,2.2,0.1,1.3,1.6,0.2,-,1.1,2.4,1.5,-,1.4,1,48.5,0.4,2.5,-,Serie A,2015/2016
26,Lorenzo Insigne,Napoli,25,FW,34(3),2626,12,10,2,-,3.6,80.5,0.1,5,7.25,0.6,0.5,0.4,-,-,0.5,-,-,1.8,1.2,0.6,0.9,0.9,1.1,43.9,0.3,1.2,0.2,Serie A,2015/2016
27,Diego Perotti,Genoa,28,FW,14(2),1087,1,2,1,2,0.9,82.1,0.4,-,7.23,1.6,0.6,0.7,-,0.3,0.9,0.1,-,2.2,3.6,2,0.1,1.2,1.1,35.3,1.3,0.7,0.1,Serie A,2015/2016
28,Maurizio Pugliesi,Empoli,39,Goalkeeper,1,90,-,-,-,-,-,52.2,1,-,7.23,-,-,-,-,1,-,-,-,-,-,1,-,-,-,23,-,4,-,Serie A,2015/2016
29,Andrea Costa,Empoli,30,D(CL),23(1),2080,1,-,4,-,0.3,87,2.9,1,7.22,0.7,3.8,0.9,0.9,5.5,0.2,1,-,-,0.3,0.8,0.1,0.3,0.3,56.5,-,3.1,-,Serie A,2015/2016
30,Piotr Zielinski,Empoli,22,M(CLR),35,3035,5,4,5,1,1.8,82.5,0.5,4,7.22,2,1.4,1,-,1,0.9,-,-,1.5,2.5,0.9,-,1.8,1.5,46.9,0.4,1.6,0.1,Serie A,2015/2016
31,Fernando,Sampdoria,24,M(C),34(1),2986,4,2,14,-,1.4,85.6,0.5,3,7.22,2.5,2.7,1.9,-,0.8,1.6,0.3,-,1.7,0.6,1.9,-,0.9,1,59,1.3,6.3,0.1,Serie A,2015/2016
32,Luca Antonelli,AC Milan,29,M(CL),25(3),2334,3,1,2,-,0.7,79.3,1,2,7.22,2.8,2,0.6,0.3,2.6,0.6,0.6,-,0.6,0.7,2.2,0.1,0.5,0.6,43.5,0.3,1.4,-,Serie A,2015/2016
33,Jorginho,Napoli,25,DMC,32(3),2913,-,4,10,1,0.2,90.9,0.6,1,7.22,2,2.2,1.5,-,0.3,2.1,0.2,-,1.9,0.4,1.7,-,0.5,0.7,102.6,1,2.7,0.3,Serie A,2015/2016
34,Bruno Peres,Torino,26,M(LR),30(1),2596,3,4,9,-,1.3,82.4,0.3,4,7.21,1.7,1.2,0.7,-,1.1,0.6,0.2,1,1.1,3.1,1.1,-,1.4,1.6,30,1.1,3.4,0.1,Serie A,2015/2016
35,Allan,Napoli,25,DMC,32(3),2824,3,5,5,-,0.8,86.3,0.5,-,7.21,3.1,1.1,1.6,-,0.4,2.1,0.3,-,1.1,1.6,1.8,-,1.9,1.3,51.9,0.1,1.3,0.1,Serie A,2015/2016
36,Mohamed Salah,Roma,24,FW,32(2),2739,14,6,1,1,2.1,82.9,0.2,4,7.20,0.6,0.4,0.6,-,0.1,0.7,-,-,1.9,1.6,1.3,0.4,2.2,2,33.1,0.1,0.5,0.1,Serie A,2015/2016
