,name,club,position,apps,mins,goals,assists,yel,red,shots,ps%,aerials_won,motm,rating,tackles,interceptions,fouls,offsides_won,clearances,dribbled,blocks,own_goals,key_passes,dribblings,fouled,offsides,dispossed,bad_controls,avg_passes,crosses,long_passes,through_passes,league,season
0,Marco Reus,Borussia M.Gladbach,FW,32,2782,18,9,3,-,3.2,78.4,0.2,12,7.99,1.6,1,1,-,0.2,0.7,0.1,-,2.3,2.9,2.1,0.8,2.3,2,39.3,1,1.1,0.5,Bundesliga,2011/2012
1,Franck Ribéry,Bayern,FW,27(5),2393,12,12,4,1,2.2,84.8,0.3,6,7.88,1.2,0.6,1.2,-,0.1,0.9,-,-,2.1,4,2.9,0.3,2.8,0.8,47.3,1.1,1.9,0.2,Bundesliga,2011/2012
2,Christopher Avevor,Hannover,DMC,0(1),54,-,-,-,-,-,77.8,-,-,7.82,3,2,-,2,6,3,1,-,-,-,1,-,-,-,18,-,-,-,Bundesliga,2011/2012
3,Mario Götze,Borussia Dortmund,FW,14(3),1192,6,5,3,1,1.5,78.4,0.4,2,7.77,2,1.1,1.3,-,0.1,1.5,-,-,2,3.5,1.6,0.6,2.1,1.8,32.6,1.5,1.1,-,Bundesliga,2011/2012
4,Claudio Pizarro,Werder Bremen,FW,28(1),2521,18,8,5,-,2.9,75.5,1,4,7.73,1.7,1.3,1.7,-,1,0.8,0.1,-,1.8,2.7,1.5,1.6,2.8,2.2,30.6,0.1,1.1,0.2,Bundesliga,2011/2012
5,Jörg Butt,Bayern,GK,1,90,-,-,-,-,-,53.8,-,-,7.65,-,-,-,-,-,1,-,-,-,-,-,-,-,-,26,-,9,-,Bundesliga,2011/2012
6,Robert Lewandowski,Borussia Dortmund,FW,34,2881,22,8,4,-,3.5,70.6,2.3,6,7.63,0.6,0.5,2.1,-,0.6,0.4,-,-,1,1.4,2.3,1.1,2.4,2,21.6,0.1,0.5,0.1,Bundesliga,2011/2012
7,Klaas Jan Huntelaar,Schalke,FW,32,2803,29,8,1,-,3,76.1,1.3,6,7.63,0.4,0.3,1.8,-,0.4,0.8,-,-,1.2,0.8,1.5,1.1,1.7,1.5,23.3,0.1,0.8,0.1,Bundesliga,2011/2012
8,Gotoku Sakai,Stuttgart,M(R),14,1260,-,4,1,-,0.1,74.3,0.2,2,7.62,3,4.1,1.1,0.3,3.1,1.2,0.5,-,1.3,1.4,0.8,-,1.5,0.7,40.6,1.2,2.9,-,Bundesliga,2011/2012
9,Jefferson Farfán,Schalke,FW,19(4),1754,4,8,2,-,1,79.9,1,3,7.60,1.4,0.9,2,-,0.2,0.8,-,-,2.7,2.6,2.4,0.3,1.8,0.9,34.7,2.3,0.9,0.1,Bundesliga,2011/2012
