,name,club,position,apps,mins,goals,assists,yel,red,shots,ps%,aerials_won,motm,rating,tackles,interceptions,fouls,offsides_won,clearances,dribbled,blocks,own_goals,key_passes,dribblings,fouled,offsides,dispossed,bad_controls,avg_passes,crosses,long_passes,through_passes,league,season
0,Lionel Messi,Barcelona,FW,30(5),2841,34,10,3,-,4.7,85.7,0.2,14,8.67,0.9,1.2,0.8,-,-,0.5,-,-,1.9,4.1,2.4,0.3,2.5,-,44.3,0.6,1.3,0.7,LaLiga,2009/2010
1,Cristiano Ronaldo,Real Madrid,FW,28(1),2490,26,7,3,2,7.3,79.7,0.9,13,8.54,0.4,0.4,1.3,-,0.1,0.1,-,-,2.6,3.1,3.2,0.8,2.8,-,38.6,0.6,0.5,0.2,LaLiga,2009/2010
2,Gonzalo Higuaín,Real Madrid,FW,28(4),2401,27,5,3,-,3.1,81.5,0.1,6,7.90,0.3,0.5,0.8,-,0.3,0.5,-,-,1.6,1.4,1,1.3,1.7,-,24.1,0.3,0.9,0.3,LaLiga,2009/2010
3,Dani Alves,Barcelona,M(CR),28(1),2505,3,10,7,1,1,85.1,1.1,2,7.85,3.5,2.8,2.1,0.1,2.1,1.1,0.3,-,1.9,0.9,1.3,0.3,1.1,-,64.7,1.6,3.2,0.3,LaLiga,2009/2010
4,Ruud van Nistelrooij,Real Madrid,FW,0(1),11,1,1,-,-,1,66.7,-,-,7.81,-,-,-,-,-,-,-,-,2,-,-,-,-,-,3,-,-,-,LaLiga,2009/2010
5,Javi Martínez,Athletic Bilbao,M(C),34,3003,6,1,9,1,1.6,75.6,2.3,5,7.71,3.2,4.2,1.9,-,3.9,0.5,0.4,-,0.6,1.2,2.3,-,0.6,-,32.5,0.1,2.1,0.1,LaLiga,2009/2010
6,Sergio Ramos,Real Madrid,D(CR),33,2902,4,5,13,1,1.1,85.3,2,2,7.71,2.7,3.6,1.9,0.8,3.9,0.6,0.4,-,0.8,0.8,1.2,0.1,0.7,-,53,0.6,4.7,0.1,LaLiga,2009/2010
7,Marcelo,Real Madrid,M(L),34(1),3001,4,9,5,-,1.6,81,0.4,1,7.68,2.9,2.5,1.1,0.2,2,0.9,0.1,-,1.5,1.9,1.8,0.1,1.5,-,44.5,0.7,2,0.2,LaLiga,2009/2010
8,Xavi,Barcelona,DMC,31(3),2805,3,13,4,-,1.3,90.4,-,4,7.67,1.2,1.4,0.4,-,0.5,0.7,0.1,-,3.2,0.8,1.6,0.1,1.4,-,83.9,1.7,6,1,LaLiga,2009/2010
9,Juan Cala,Sevilla,D(C),5,450,3,-,1,-,1.8,76.6,2.2,1,7.66,1.6,1,1.2,-,5.8,0.8,0.4,-,0.2,1.4,2.4,0.2,0.6,-,52.2,0.6,3.8,-,LaLiga,2009/2010
10,Chema,Xerez,Goalkeeper,3,270,-,-,1,-,-,43.8,0.3,1,7.65,-,-,-,-,1.3,-,-,-,-,-,0.7,-,-,-,29.7,-,10,-,LaLiga,2009/2010
11,Antonio Luna,Sevilla,M(L),1,90,-,-,-,-,-,64.3,1,-,7.62,6,5,2,-,6,-,3,-,-,-,-,-,-,-,28,-,2,-,LaLiga,2009/2010
12,Armando,Athletic Bilbao,Goalkeeper,1,90,-,-,-,-,-,60,-,-,7.61,-,-,-,-,1,-,-,-,-,-,-,-,-,-,30,-,13,-,LaLiga,2009/2010
13,Xabi Alonso,Real Madrid,M(C),34,3010,3,5,12,-,1.2,85.6,1,1,7.58,3.7,3.1,1.9,-,1.2,1,0.4,1,1.9,0.3,1.1,-,1.3,-,73.7,0.7,7.6,0.2,LaLiga,2009/2010
14,Duda,Malaga,M(CLR),33(1),2917,8,7,8,2,2,63.8,0.5,6,7.56,2,3,1.6,-,1,0.9,0.2,-,2.5,1.6,3.1,0.5,2.6,-,30.3,1.9,2.1,0.1,LaLiga,2009/2010
15,David Villa,Valencia,FW,31(1),2711,21,3,4,-,4.3,67.3,0.6,7,7.51,0.6,0.6,1.4,-,0.1,0.2,-,-,1.2,0.7,1.3,1.6,2.3,-,19,0.2,0.7,0.1,LaLiga,2009/2010
16,Zlatan Ibrahimovic,Barcelona,FW,23(6),2037,16,7,6,1,3.4,73.7,1,2,7.48,0.5,0.6,2,-,0.9,0.1,-,-,1.2,0.7,1.2,1.8,1.4,-,25.1,0.2,0.7,0.3,LaLiga,2009/2010
17,Pepe,Real Madrid,D(C),10,856,1,-,1,-,0.5,80.7,1.8,1,7.47,3,2.5,0.6,1.7,5.7,0.9,0.4,-,0.3,0.2,0.9,0.1,-,-,41.4,-,4.6,-,LaLiga,2009/2010
