,name,club,position,apps,mins,goals,assists,yel,red,shots,ps%,aerials_won,motm,rating,tackles,interceptions,fouls,offsides_won,clearances,dribbled,blocks,own_goals,key_passes,dribblings,fouled,offsides,dispossed,bad_controls,avg_passes,crosses,long_passes,through_passes,league,season
0,Riyad Mahrez,Leicester,FW,36(1),3058,17,11,1,-,2.3,73.6,0.9,10,7.84,1.4,1,0.5,-,0.4,1.9,0.1,-,1.8,3.5,2.2,0.1,2.4,2.1,27.9,0.9,1.4,0.4,Premier League,2015/2016
1,Dimitri Payet,West Ham,FW,29(1),2573,9,12,3,-,2.3,80.2,0.1,5,7.74,0.8,0.8,0.4,-,0.1,0.8,-,-,4,2.2,1.3,0.1,1.7,1.8,42.3,3.1,2.6,0.3,Premier League,2015/2016
2,Alexis Sánchez,Arsenal,FW,28(2),2446,13,4,1,-,3.6,79.6,0.7,6,7.72,1.6,0.8,1.1,-,0.2,0.8,0.1,-,2.1,3.4,2.2,0.4,3.3,2.4,47.8,0.4,2.4,0.4,Premier League,2015/2016
3,Mousa Dembélé,Tottenham,M(CR),27(2),2273,3,1,3,-,0.8,90,1.1,4,7.69,3.6,1.9,1.7,-,1.1,0.4,0.3,-,1,2.9,1.1,0.1,2.2,0.8,47.6,-,1.4,-,Premier League,2015/2016
4,Mesut Özil,Arsenal,M(CLR),35,3049,6,19,4,-,1.4,86.3,0.1,6,7.66,1,0.6,0.6,-,0.3,1.2,-,-,4.2,1.3,1.2,0.4,1.7,2,65.1,2.6,1.5,0.5,Premier League,2015/2016
5,N'Golo Kanté,Leicester,DMC,33(4),3020,1,4,3,-,0.6,81.6,1,3,7.61,4.7,4.2,1.2,-,1.5,1.6,0.3,-,0.8,1.3,0.5,-,0.7,1.2,39.2,0.1,1.7,0.1,Premier League,2015/2016
6,Virgil van Dijk,Southampton,D(C),34,3060,3,-,2,-,0.9,83.1,4.8,7,7.56,1.7,2.8,0.8,0.3,7.6,0.3,0.6,-,0.3,0.5,0.5,0.1,0.2,0.3,40.8,-,3.5,-,Premier League,2015/2016
7,Harry Kane,Tottenham,FW,38,3370,25,1,5,-,4.2,73.1,2,8,7.53,0.8,0.6,1.1,-,0.8,0.3,0.2,1,1.2,1.3,1.4,0.8,2.4,1.8,25.3,0.1,1.2,-,Premier League,2015/2016
8,Santi Cazorla,Arsenal,M(CLR),15,1293,-,3,2,1,1.6,90.2,0.1,1,7.53,1.9,1.7,0.9,-,1,1.8,0.1,-,2.5,2.5,0.9,0.1,1.3,0.9,81.9,1,3.5,0.3,Premier League,2015/2016
9,Jamie Vardy,Leicester,FW,36,3140,24,6,5,1,3.2,65.8,2.6,3,7.51,1,0.5,1.2,-,0.2,0.5,0.1,-,1.3,1.1,0.8,0.7,0.8,1.8,17.4,0.3,0.4,-,Premier League,2015/2016
