,name,club,position,apps,mins,goals,assists,yel,red,shots,ps%,aerials_won,motm,rating,tackles,interceptions,fouls,offsides_won,clearances,dribbled,blocks,own_goals,key_passes,dribblings,fouled,offsides,dispossed,bad_controls,avg_passes,crosses,long_passes,through_passes,league,season
0,Marco Festa,Crotone,Goalkeeper,1,90,-,-,-,-,-,81.5,-,1,7.80,-,-,-,-,1,-,-,-,-,-,-,-,-,-,27,-,9,-,Serie A,2020/2021
1,Cristiano Ronaldo,Juventus,FW,31(2),2803,29,3,3,-,5.1,82.1,0.7,8,7.61,0.2,0.2,0.5,0.1,0.5,0.4,0.1,-,1.1,1.8,1.3,0.9,1,1.9,29.9,0.4,0.5,0.1,Serie A,2020/2021
2,Zlatan Ibrahimovic,AC Milan,FW,18(1),1498,15,2,2,1,4.3,72,4.5,8,7.57,0.3,0.3,1.7,0.1,1.4,0.2,0.2,-,1.1,0.6,1.3,2.1,0.6,1.7,27.5,0.1,0.6,0.1,Serie A,2020/2021
3,Lorenzo Insigne,Napoli,FW,33(2),2872,19,7,2,1,4.1,83.7,0.1,11,7.56,0.7,1.1,0.3,-,0.1,1.7,-,-,1.8,1.9,1.1,0.3,1,1.8,48.7,0.7,3.2,0.2,Serie A,2020/2021
4,Romelu Lukaku,Inter,FW,32(4),2887,24,11,4,-,2.7,72.5,1.3,7,7.47,0.3,0.1,0.9,-,0.9,0.2,-,-,1.4,1.5,1.3,0.5,1.4,2.6,20.4,0.1,0.4,0.1,Serie A,2020/2021
5,Domenico Berardi,Sassuolo,FW,28(2),2485,17,7,4,-,3.8,80.5,0.4,8,7.42,1.4,0.9,1.4,-,1,1.4,-,-,1.9,1,2,0.1,1,1.8,39.4,1,2,0.2,Serie A,2020/2021
6,Rodrigo De Paul,Udinese,FW,36,3204,9,9,3,2,2.3,79.8,0.2,12,7.41,1.1,0.5,0.9,-,0.3,1.3,-,-,2.3,3.4,3.5,-,1.6,2.6,51.1,2,4.5,0.2,Serie A,2020/2021
7,Adam Ounas,Crotone,FW,15,1209,4,3,1,-,1.7,83,0.6,4,7.39,0.6,0.2,0.7,-,0.1,0.5,0.1,-,1.4,3.8,2.1,0.6,1.5,2.5,30.2,0.5,2.3,0.2,Serie A,2020/2021
8,Henrikh Mkhitaryan,Roma,FW,30(4),2747,13,10,2,-,2.4,78.5,0.4,4,7.30,1.7,1.1,1.1,-,0.2,1.5,-,-,1.4,1.4,1.4,0.3,0.7,1.5,33.9,0.4,0.9,0.2,Serie A,2020/2021
9,Sergej Milinkovic-Savic,Lazio,AM(C),32,2754,8,9,4,-,2,78.7,3.3,8,7.30,1.8,1,1.8,0.1,1.3,1.8,0.4,-,1.3,0.9,1.6,0.3,1.4,2.5,54.1,0.5,3.7,-,Serie A,2020/2021
10,Theo Hernández,AC Milan,M(L),33,2935,7,5,9,-,1.4,83.1,1.6,2,7.28,1.5,1,1.2,0.2,1.5,0.6,0.2,-,1.3,2.2,2.5,0.2,0.8,1.9,48,0.5,1.9,-,Serie A,2020/2021
11,Papu Gómez,Atalanta,FW,9(1),672,4,2,-,-,2.9,84.8,-,2,7.27,0.3,0.1,1,-,0.1,0.6,0.1,-,1.9,1.5,1.9,-,1,1.1,40,1.1,2.6,0.1,Serie A,2020/2021
12,Hakan Çalhanoglu,AC Milan,FW,30(3),2629,4,9,4,-,2.5,84.1,0.5,4,7.27,0.8,0.5,0.9,-,0.5,0.6,0.2,-,3,1.1,1.3,0.1,1.1,2.3,41.7,2.2,2.3,-,Serie A,2020/2021
13,Luis Muriel,Atalanta,FW,16(20),1437,22,9,-,-,2.4,74.9,0.7,7,7.25,0.6,0.2,0.5,-,0.1,0.5,-,-,1.3,1.5,0.6,0.1,1.4,1.6,17.4,0.6,0.5,-,Serie A,2020/2021
14,Federico Chiesa,Fiorentina,FW,3,241,1,1,-,-,3.3,79.5,0.3,1,7.24,2,0.3,0.7,-,0.7,1.7,0.3,-,1.7,2,1,0.7,1.7,1.7,29.3,1.3,2,-,Serie A,2020/2021
15,Andrea Belotti,Torino,FW,33(2),2895,13,6,4,-,3.1,69.5,2.4,3,7.23,0.9,0.3,1.7,-,0.5,0.7,0.1,-,1.1,1.3,3.9,0.6,1.2,3.1,19.6,0.1,0.7,0.2,Serie A,2020/2021
16,Lorenzo Pellegrini,Roma,M(CL),30(4),2608,7,6,10,-,2.1,82,0.6,7,7.23,1.2,1.3,1.3,-,0.6,1.2,0.1,-,1.9,1.3,1.5,0.2,0.6,2,38.2,1.7,1.9,0.2,Serie A,2020/2021
17,Junior Messias,Crotone,FW,36,3217,9,4,6,-,2.7,78.5,1,3,7.22,1.7,1,0.9,-,1.1,1.3,0.3,-,0.9,2.9,2.6,0.1,1.6,3.1,29.6,0.7,1.4,-,Serie A,2020/2021
18,Federico Chiesa,Juventus,FW,28(2),2227,8,8,3,1,2,80.4,0.2,3,7.21,1.6,0.4,1,-,0.5,1,-,-,1.5,1.6,1.2,0.4,0.8,1.3,23.1,0.7,1,0.1,Serie A,2020/2021
19,Rafael,Spezia,GK,2(1),206,-,1,-,-,-,71.1,0.7,1,7.21,-,-,-,-,0.3,-,-,-,0.3,-,-,-,-,-,32.3,-,6.7,-,Serie A,2020/2021
20,Robin Gosens,Atalanta,M(CL),30(2),2539,11,6,7,1,1.6,81.8,1.1,3,7.19,1.4,1.3,1.6,-,1,0.8,0.2,1,0.9,0.8,0.8,0.3,0.5,1.3,43.1,0.6,1.1,-,Serie A,2020/2021
